id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the Ration Shop/ Fair Price Shop?,How much distance should one travel from this Ration Shop/ Fair Price Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What is the type of structure of this Ration Shop/ Fair Price Shop?,What are the working hours of this Ration Shop/ Fair Price Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Ration Shop/ Fair Price Shop?,How many people are working in the Ration Shop/ Fair Price Shop?,Where do you get drinking water from for using at this Ration Shop/ Fair Price Shop?,Are there toilets available for public usage at this Ration Shop/ Fair Price Shop?,How do you deal with the waste generated from that Ration Shop/ Fair Price Shop?,Are the premises of this Ration Shop/ Fair Price Shop cleaned with disinfectant regularly?,How frequently are the premises at this Ration Shop/ Fair Price Shop eaned with disinfectant in a week?,Do you have grid connection for energy supply for this Ration Shop/ Fair Price Shop?,What is the alternative energy source available for that Ration Shop/ Fair Price Shop?,Is there landline connectivity for that Ration Shop/ Fair Price Shop?,Does this Ration Shop/ Fair Price Shop have wired internet connection?,How do you maintain records for this Ration Shop/ Fair Price Shop?,What are the areas the Ration Shop/ Fair Price Shop gets support from government agencies?,Do you get any support from NGO(s) for this Ration Shop/ Fair Price Shop?,Are you using any digital technologies that can be used in the Ration Shop/ Fair Price Shop?,Do you have a POS device in your shop?,How many times in a year does the supply comes?,How does the grains/product are weighed?,What are the foodgrains/items are available in the fair price shop?,How many people (villagers) are enrolled as beneficiaries in the fair price shop?,How many villages does your fair price shop covers?
2797,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.348059999999997,92.22278,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,traditional book keeping,none,no,no,no,monthly,manual,rice#flour#sugar,10,1
2798,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.34194,92.27597,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,3,no,none,no,no,traditional book keeping,none,no,no,no,monthly,manual,flour#sugar#others,0,1
2799,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.34811,92.27605,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,rice#flour#sugar#others,0,1
2802,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,28.22754,93.66993000000001,1,pakka road,0.2,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,yes,burnt within the premises,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,rice#sugar,0,1
2813,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Dirang,Dirang,27.346809999999998,92.27365,1,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,1,tap water from government,no,discarded in water bodies,yes,2,no,none,no,no,none,none,no,no,no,monthly,manual,others,0,1
3001,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Shergaon,Shergaon,27.129929999999998,92.26063,2,pakka road,24.0,4g unreliable,bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",300,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,3,tap water from government,no,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,financial support#marketing support#transport support,no,no,no,monthly,manual,rice,263,1
3659,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Sangdupota,Jote,27.046020000000002,93.46472,1,kacha road,1.0,2g reliable,bsnl,"kacha/temporary(wood,bamboo,etc.,)",360,monday#tuesday#thusdayt#wednesday#friday#saturday,1,others,no,burnt within the premises,no,N/A,no,none,no,no,traditional book keeping,support via subsidies,no,no,no,monthly,manual,rice,155,6
3677,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Sangdupota,Poma,27.062759999999997,93.52698000000001,3,pakka road,1.5,3g reliable,bsnl,"pakka/permenant(steel,concrete,etc.,)",240,monday#tuesday#wednesday#thusdayt#friday#saturday,1,others,no,discarded in govt. designated sites,no,N/A,no,none,no,no,traditional book keeping,support via subsidies,no,no,no,monthly,manual,rice,113,7
3678,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Itanagar,Ganga,27.08796,93.5946,1,pakka road,1.0,4g+ reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",300,monday#tuesday#thusdayt#friday,2,tap water from government,no,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,transport support,no,no,no,monthly,electronic,rice,280,2
4311,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Hari,27.583890000000004,93.84076999999999,1,kacha road,1.0,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",720,monday#tuesday#wednesday#thusdayt#friday#saturday,3,tap water from government,no,discarded in open field,yes,7,yes,none,no,no,traditional book keeping,none,no,no,no,monthly,manual,rice,320,1
4870,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Doimukh,Soppo,27.21384,93.80064,5,pakka road,1.0,2g reliable,vodafone#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",480,friday#saturday,3,tap water from government,no,burnt within the premises,yes,5,no,none,no,no,others,support via subsidies,no,no,no,monthly,manual,rice,133,4
5348,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Hong,27.557540000000003,93.84299,10,kacha road,0.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",0,monday,1,tap water from government,yes,none,yes,4,yes,none,no,no,none,none,no,no,no,monthly,manual,rice#kerosene,12,9
5465,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Banderdewa,Kharsingsa,27.11465,93.77854,1,kacha road,0.5,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",300,monday#tuesday#wednesday#thusdayt#friday,2,ground water,yes,burnt within the premises,yes,5,yes,none,no,no,traditional book keeping,financial support,no,yes,no,monthly,manual,rice,70,2
5619,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Toru,Dokte Hoj,27.2612,93.7964,3,pakka road,1.0,4g+ reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",325,monday#tuesday#wednesday#thusdayt#friday#saturday,100,others,no,discarded in open field,yes,1,no,none,no,no,traditional book keeping,transport support,yes,no,no,weekly,manual,rice,80,5
5759,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55753,93.84926,1,footway,3.0,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",570,monday#tuesday#wednesday#thusdayt#friday#saturday#sunday,2,others,no,discarded in open field,no,N/A,yes,none,no,no,traditional book keeping,support via schemes#support via subsidies#marketing support,no,no,no,monthly,manual,rice,347,100
5949,Food & Civil Supplies,Ration Shop/ Fair Price Shop,East Siang,Pasighat,Boying,28.05988,95.29054000000001,2,pakka road,1.0,4g+ reliable,vodafone#idea#bsnl#jio,"kacha/temporary(wood,bamboo,etc.,)",180,monday,1,others,no,burnt within the premises,yes,2,no,none,no,no,traditional book keeping,marketing support,no,no,no,monthly,manual,rice#kerosene,65,4
7062,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Tajang,27.58677,93.8567,3,pakka road with block point,1.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",300,monday#wednesday#friday#tuesday#thusdayt#saturday,2,tap water from government,no,discarded in water bodies,yes,3,no,none,no,no,traditional book keeping,financial support#transport support#support via schemes#support via subsidies,no,no,no,monthly,manual,rice,174,2
7282,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Kalong,27.5955,93.84013,1,pakka road,1.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",900,monday#tuesday#wednesday#thusdayt#friday#saturday,1,ground water,no,burnt within the premises,yes,>7,no,none,no,no,none,transport support,no,no,no,monthly,manual,rice,100,2
7290,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Reru,27.5967,93.84143,1,pakka road,1.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",840,monday#tuesday#wednesday#thusdayt#friday#saturday,100,ground water,no,burnt within the premises,yes,>7,yes,none,no,no,none,transport support#technical support,no,no,no,monthly,manual,rice,1,1
728,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lohit,Tezu,Laboliang,27.983140000000002,96.18372,1,pakka road,0.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",480,monday#tuesday#thusdayt#friday#saturday#sunday,2,tap water from government,yes,burnt within the premises,no,N/A,yes,solar unit,no,no,traditional book keeping,transport support,no,no,no,monthly,electronic,rice#kerosene,368,100
729,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lohit,Tezu,Laboliang,27.98658,96.1894,1,pakka road,0.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",480,monday#tuesday#thusdayt#friday#saturday#sunday,2,tap water from government,yes,burnt within the premises,no,N/A,yes,none,no,no,traditional book keeping,transport support,no,no,no,monthly,electronic,rice#kerosene,600,100
802,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Banderdewa,Kharsingsa Village,27.11962,93.79369,1,pakka road,0.5,2g reliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",420,monday#tuesday,2,ground water,no,burnt within the premises,yes,4,yes,none,no,no,traditional book keeping,financial support#support via subsidies,no,no,no,monthly,electronic,rice,100,2
815,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Papumpare,Banderdewa,Kharsingsa Village,27.12023,93.79500999999999,1,pakka road,0.0,2g reliable,bsnl#idea,"pakka/permenant(steel,concrete,etc.,)",600,monday#tuesday,2,tap water from government,yes,burnt within the premises,yes,4,yes,none,no,no,traditional book keeping,support via subsidies#financial support,no,no,no,monthly,electronic,rice,60,1
848,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Yachuli,Jara,27.527509999999996,93.77356999999999,1,pakka road,1.0,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",360,monday#tuesday#wednesday#thusdayt#friday#saturday,1,tap water from government,no,discarded in open field,no,N/A,yes,none,no,no,traditional book keeping,support via subsidies,no,no,no,monthly,manual,rice,39,1
1219,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Tirap,Khonsa,Lapnan,26.98906,95.48555,2,pakka road,1.0,4g unreliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",780,monday#tuesday#wednesday#thusdayt#friday#saturday,1,others,no,burnt within the premises,no,N/A,no,none,no,no,traditional book keeping,none,no,no,no,monthly,manual,rice,175,1
1582,Food & Civil Supplies,Ration Shop/ Fair Price Shop,West Kameng,Singchung,Singchung,27.19994,92.47570999999999,5,pakka road,0.3,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",300,saturday#sunday,3,others,no,discarded in open field,no,N/A,no,none,no,no,traditional book keeping,none#marketing support,no,no,no,monthly,manual,rice#kerosene,695,6
1845,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Pistana,deed,27.595129999999997,93.67925,1,kacha road,0.0,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",60,monday#tuesday#wednesday#thusdayt#friday#saturday,2,tap water from government,no,burnt within the premises,yes,7,yes,invertor,no,no,traditional book keeping,support via subsidies,no,no,no,quarterly,electronic,rice#kerosene,240,1
1871,Food & Civil Supplies,Ration Shop/ Fair Price Shop,Lower Subansiri,Ziro,Hija,27.586470000000002,93.82755999999999,1,pakka road with block point,1.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",420,monday#tuesday#wednesday#thusdayt#friday#saturday,2,others,yes,discarded in open field,yes,7,yes,invertor,no,no,traditional book keeping,support via schemes,no,no,no,monthly,manual,rice,433,4
