id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from the asset to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What are different Mobile network service providers available at the location of the asset?,What is the type of structure of the asset?,What is the type of security available for the asset?,What are the working hours of the asset?(Ex: 9.00A.M-5.A.M),What are the working days of that asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where do you get drinking water from for using at the asset?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at the asset?,Are there toilets available seperately as per gender at the asset?,Is there running water available in the toilets at the asset?,Is there soap for handwash available at the asset?,How do you deal with the agricultural waste generated from that asset?,What are the other mechanism used to discard the waste from the asset?,Are the premises of the asset cleaned with disinfectant regularly?,How frequently are the premises at the asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the asset?,How many hours per day are you facing power cuts at the asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code?,Does the asset have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations for the asset?,What are the other record mechanism used in the market?,What are the areas the asset gets support from government agencies (not for customers)?,Do you get any support from NGO(s) for the asset?,From what Organization(s) did you get support?,Where do you procure inputs required for that asset?,What are other sources are used to get needed inputs?,How does the asset advertise about the services available?,Are you using any digital tools for your operations for the asset?,For what purpose are you using digital tools here at the asset?,What is the breed of Hens reared in the poultry farm?,What is the number of hens reared in the poultry farm?,What is the type of structure of the poultry farm?,What is the size of the poultry farm?,Where are the chicks procured from?,What are different equipments available in the poultry farm?,Where do you procure feed & other inputs required?,What are the hens raised for?,How are the hens raised in the farm?,No. of people employed through the poultry farm?,Where do you procure medicines/ vaccines for the poultry?,When was the last time the cattle was vaccinated?,How frequently the Veterinary doctor/ Animal Husbandry department visits the farm?,What is the Most common disease for the birds?,Are the birds artificially inseminated?,How many eggs are produced from the farm per day?,Where do you market the eggs/ meat produced from the farm?,How do you pack the eggs/ meat to sell in the market?,At what price you sell the hen to the customers?,Do the vety doctors comes to the farm to check the diseases?,Is there any epidemic which have affected the farm in past?,How many hens/chicks were affected?,Name the epidemic disease
1066,2019-02-15 08:48:57,Animal Husbandry,Poultry Farm,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13459,95.74521,Approved,https://smartvillage.imagetrekk.com/storage/images/iPzwA65mkG0kSH36yAhnOwgQ9AVuHMYtOdUPjb4R.jpeg?asset_id=1066,Village name is New Changlang,1,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",0.00-24.00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",50,Temporary shed,2,"[""Local Market""]","[""None""]","[""Local Market""]","[""Meat"",""Others""]",Both,1,"[""Local Market""]",6 months-12 months back,Not fixed,nil,No,0,"[""Local Market"",""Others"",""Personal Consumption""]","[""Polythene Bags""]",300,No,No,,
1082,2019-02-15 11:26:16,Animal Husbandry,Poultry Farm,undefined,Private,In Use,Tirap,Khonsa,Khonsa I,27.00448,95.50382,Approved,https://smartvillage.imagetrekk.com/storage/images/GVa2LXlkZyQB0MGOTD6UJyon23SeBIlljmGMlTHK.jpeg?asset_id=1082,khonsa poultry farm 1,1,Pakka Road,0.01,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Security Guard""]",5.00-5.00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",2,0,Others,,Others,stream,Yes,No,No,Yes,Discarded in Open Field,,Yes,1,Yes,4,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",No,,"[""Broiler Chicken""]",200,Temporary shed,300,"[""Local Market""]","[""Others""]","[""Local Market""]","[""Meat""]",Other Technique,2,"[""Local Market""]",Within the last 6 months,Not fixed,Ranikhet and diarrhia,No,0,"[""Local Market""]","[""None""]",150,No,Yes,100,dont know
1084,2019-02-15 12:23:58,Animal Husbandry,Poultry Farm,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13418,95.74405,Approved,https://smartvillage.imagetrekk.com/storage/images/YKE0LiwV8GrhqJ1lw5cFNiCgmOlgTZBLymlgT2ev.jpeg?asset_id=1084,Village name is New Changlang,5,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0.00-24.00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,Yes,2,Others,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",50,Permanent shed,4,"[""Local Market""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Local Market""]","[""Meat""]",Both,1,"[""Local Market""]",6 months-12 months back,Not fixed,nil,No,0,"[""Local Market"",""Personal Consumption""]","[""Polythene Bags""]",300,No,No,,
1211,2019-02-16 08:36:00,Animal Husbandry,Poultry Farm,kino tallo,Private,In Use,Papumpare,Sangdupota,Poma,27.07277,93.51717,Approved,https://smartvillage.imagetrekk.com/storage/images/aRGfS6KzCav2Tz1Y0hATIktkbJQWbnCrN6i2IqBb.jpeg?asset_id=1211,-,1,Kacha Road,1.5,3G Reliable,"[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","[""BSNL"",""Jio""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",9.00am to 8.00 pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,No,Burnt within the premises,,Yes,7,Yes,1,Others,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Posters\/ Display Boards""]",Yes,"[""Accounts""]","[""Broiler Chicken""]",200,Permanent shed,105,"[""Other"",""Govt. Agency"",""Local Market""]","[""Water feeding equipment"",""Feed Preperation Equipment"",""Feeding Equipment""]","[""Local Market"",""Govt. Agency""]","[""Meat""]",Open Farm,1,"[""Govt. Agency"",""Local Market"",""Others""]",More than two years back,Not fixed,"fowl cholera, infectious bursal disease",No,0,"[""Local Market"",""Others""]","[""Polythene Bags""]",160,No,No,,
1215,2019-02-16 11:02:22,Animal Husbandry,Poultry Farm,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13354,95.74392,Approved,https://smartvillage.imagetrekk.com/storage/images/tLub5V5nO0bSzFr3FwqYdrUMVkYnwurDauH3Tno4.jpeg?asset_id=1215,Village name is New Changlang,1,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0.00-24.00,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,1,Solar Unit,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",50,Temporary shed,3,"[""Local Market""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Local Market""]","[""Meat""]",Open Farm,1,"[""Local Market""]",6 months-12 months back,Not fixed,nil,No,0,"[""Personal Consumption"",""Local Market""]","[""Polythene Bags""]",300,No,No,,
1216,2019-02-16 11:02:42,Animal Husbandry,Poultry Farm,hanhap taiju,Private,In Use,Changlang,Changlang,Changlang (CT),27.13345,95.74351,Approved,https://smartvillage.imagetrekk.com/storage/images/nGA9JcIF3EGQim7PnCvFry2SGhLOwH0qTqAWVfKL.jpeg?asset_id=1216,Village name is New Changlang,1,Kacha Road,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",0.00-24.00,"[""Monday"",""Tuesday"",""Wednesday"",""Friday"",""Thursday"",""Saturday"",""Sunday""]",0,1,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",50,Temporary shed,2,"[""Local Market""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Local Market""]","[""Meat""]",Cage,1,"[""Local Market""]",6 months-12 months back,Not fixed,nil,No,0,"[""Local Market""]","[""Polythene Bags""]",300,No,No,,
1250,2019-02-17 11:34:28,Animal Husbandry,Poultry Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Changlang (CT),27.14177,95.74217,Approved,https://smartvillage.imagetrekk.com/storage/images/TynK0lRM32NOc4zhKOfnqPnG2lWv8tprkeWeUlgb.jpeg?asset_id=1250,Village name is Old Changlang (Duck),1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",6.00 am- 5.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Others""]",10,Temporary shed,5,"[""Local Market""]","[""None""]","[""Local Market""]","[""Meat"",""Eggs""]",Open Farm,0,"[""None""]",More than two years back,Not fixed,flu,No,2,"[""Others"",""Personal Consumption""]","[""Polythene Bags""]",450,No,No,,
1251,2019-02-17 11:34:34,Animal Husbandry,Poultry Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Changlang (CT),27.14176,95.74215,Pending,https://smartvillage.imagetrekk.com/storage/images/xgd23NKwiFg8PzHwFJZ7ih1bIN81ghur8foSXMTe.jpeg?asset_id=1251,Village name is Old Changlang (Hen),1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",6.00 am - 5.00 pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,Yes,3,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Others""]",40,Temporary shed,10,"[""Local Market""]","[""Water feeding equipment""]","[""Local Market""]","[""Meat""]",Cage,0,"[""Local Market""]",Within the last 6 months,Not fixed,flu,No,0,"[""Personal Consumption"",""Others""]","[""Polythene Bags""]",250,No,No,,
1525,2019-02-24 15:35:32,Animal Husbandry,Poultry Farm,nemcha nyoungja,Private,In Use,Changlang,Changlang,Changlang (CT),27.14312,95.74094,Approved,https://smartvillage.imagetrekk.com/storage/images/CTK0dpVuXSYTSHwX1ATcgmfvFZ0BeYw42CUBHMKX.jpeg?asset_id=1525,Village name is Old Changlang,1,Footway,2,4G+ Reliable,"[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","[""Vodafone"",""Jio"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7.00 am - 5.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,0,Tap Water from Government,,Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Country Chicken""]",1,Temporary shed,2,"[""Local Market"",""From fellow farmers""]","[""None""]","[""Local Market""]","[""Eggs"",""Meat""]",Open Farm,0,"[""None""]",More than two years back,Not fixed,flu,No,1,"[""Personal Consumption""]","[""Polythene Bags""]",400,No,No,,
1799,2019-02-28 10:19:34,Animal Husbandry,Poultry Farm,nong tayeng,Private,In Use,East Siang,Mebo,Mebo,28.16651,95.41951,Approved,https://smartvillage.imagetrekk.com/storage/images/oLuYNpKhxR6iUzHUYMPgbPSRQIRxJUsZs7vEWs7r.jpeg?asset_id=1799,collected correct information from Shri jing borang poultry farm owner,1,Pakka Road,0.2,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","[""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",7.00am-7.00pm,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",1,0,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,Yes,1,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Local Supplier,,"[""Others""]",No,,"[""Broiler Chicken""]",50,Temporary shed,30,"[""Local Market""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Local Market""]","[""Meat""]",Cage,1,"[""None""]",Within the last 6 months,Not fixed,none,No,0,"[""Local Market""]","[""Polythene Bags""]",160,No,No,,
2353,2019-03-10 05:05:52,Animal Husbandry,Poultry Farm,undefined,Private,In Use,Tirap,Khonsa,Khonsa I,27.00011,95.5063,Pending,https://smartvillage.imagetrekk.com/storage/images/H6S4qgvFm62xXl3hweL9TbkUou4l3Ndmaticegug.jpeg?asset_id=2353,khonsa poultry farm 2,1,Pakka Road,0,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel"",""Others""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",6.00 AM – 9.00 PM,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Others,,Others,stream,Yes,No,No,No,Discarded in Open Field,,Yes,1,Yes,2,Solar Unit,4,4,4,4,4,4,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Supplier in other states,,"[""Others""]",No,,"[""Broiler Chicken""]",150,Temporary shed,500,"[""Other""]","[""Water feeding equipment"",""Feeding Equipment""]","[""Others""]","[""Meat""]",Cage,2,"[""Others""]",Within the last 6 months,Not fixed,dysentery,No,0,"[""Others""]","[""Others""]",160,No,No,,
