id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
2585,2019-03-21 07:27:50,Agriculture,Farm land,shri joram nera,Private,In Use,Lower Subansiri,Yachuli,Jara,27.52655,93.7777,Approved,https://smartvillage.imagetrekk.com/storage/images/nRBZ4YWZ63JmaQpQYiReuhRLay3bOPxzrVbvsF7S.jpeg?asset_id=2585,Bamboo1,5,Pakka Road,0.1,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0,Others,rain,None,,No,,No,,None,,,,,,,Others,None,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,Rainfed,,Others,None,"[""Others""]",1000,500,Bamboo,1-100,None,None,None,None,"[""Others"",""Farmers"",""NGO""]","[""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
2598,2019-03-21 11:24:03,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57576,91.89712,Approved,https://smartvillage.imagetrekk.com/storage/images/d5Xo1rTGAMuoNMgy82tRGo5GeOYTWAMZjonF4YNq.jpeg?asset_id=2598,Farm land,10,Kacha Road,0.5,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others""]",6,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Others,No documentation,"[""Financial Support""]",No,,No,,Local Supplier,,Others,Manure,None,,Rainfed,,Canal Irrigation,,"[""Others""]",500,2000,Rice and wheat,1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
2600,2019-03-21 11:24:57,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.56772,91.8946,Approved,https://smartvillage.imagetrekk.com/storage/images/RcPOsJlI7KWegFx6h7rfXAcHmsAhyQF212vyh6G0.jpeg?asset_id=2600,farm land,10,Kacha Road,0,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",30,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Others,No documentation,"[""None""]",No,,No,,Others,stored seed,Others,Manure,None,,River/Stream,,Canal Irrigation,,"[""Others""]",5000,3000,"white ,rice and millet",1-100,None,None,None,None,"[""Others"",""Farmers""]","[""Head Load"",""Sumo\/Tracker""]"
2603,2019-03-21 11:27:01,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.56772,91.8946,Approved,https://smartvillage.imagetrekk.com/storage/images/UV8hNYMrfB2ONcDR60MD8vEw71JSYjOg6JgB0z1P.jpeg?asset_id=2603,farm land,10,Kacha Road,0,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",30,River or Canal,,Burnt within the premises,,No,,No,,None,,,,,,,Others,No documentation,"[""None""]",No,,No,,Others,stored seed,Others,Manure,None,,River/Stream,,Canal Irrigation,,"[""Others""]",5000,3000,"white ,rice and millet",1-100,None,None,None,None,"[""Others"",""Farmers""]","[""Head Load"",""Sumo\/Tracker""]"
2620,2019-03-25 09:23:32,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34955,92.26113,Approved,https://smartvillage.imagetrekk.com/storage/images/q9XIy5u7jKZqqj2urvNVMrBT73b1C9PqIivuiU2C.jpeg?asset_id=2620,kiwi farm,1,Pakka Road,1.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,No,,Yes,1,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Others,manure,None,,Others,tape watet,Others,tape water,"[""Marketing team\/ Sales Agents""]",500,1500,kiwi,1-100,None,None,None,None,"[""None""]","[""2 Wheeler""]"
2621,2019-03-26 08:37:09,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.56929,91.89756,Approved,https://smartvillage.imagetrekk.com/storage/images/gD6Rkf3A7HAceM3idG7eqCmc4bROuOLGAz0JnHKt.jpeg?asset_id=2621,kiwi farm land,10,Footway,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",3,Water from Government,r,Burnt within the premises,,No,>7,No,,None,,,,,,,Others,No documention,"[""None""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Others,rainfed,"[""Others""]",6000,1000,Kiwi,1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
2631,2019-03-26 09:37:07,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57216,91.89704,Approved,https://smartvillage.imagetrekk.com/storage/images/W2R9thhDjsACHHqigjIKvhbUTyltmnFajqc0EoN5.jpeg?asset_id=2631,farm land,10,Footway,3,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",16,Others,rainfed,Burnt within the premises,,No,,No,,None,,,,,,,Others,No documention,"[""None""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Others,rainfed,"[""Others""]",1200,700,"millet potato, rice, wheat, maize",1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
2637,2019-03-26 09:39:07,Agriculture,Farm land,tajum dagium,Private,In Use,Tawang,Kitpi,Kitpi,27.57305,91.89852,Approved,https://smartvillage.imagetrekk.com/storage/images/3iyuItgECzAw36l2E2UCZYhaEIZYGl19KeZ1iJGy.jpeg?asset_id=2637,millet farm land,10,Footway,1,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",12,Others,Rainfed,Burnt within the premises,,No,1,No,,Others,0,0,0,0,0,0,Others,no documentation,"[""None""]",No,,No,,Local Supplier,,None,,None,,Rainfed,,Others,none,"[""Others""]",6000,600,"millet, rice, maize, potatos, wheat",1-100,None,None,None,None,"[""Farmers"",""Others""]","[""Head Load""]"
2658,2019-03-28 05:39:03,Agriculture,Farm land,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53484,91.71727,Approved,https://smartvillage.imagetrekk.com/storage/images/Ue8Nw4QjWd03ls1BzfBGYnqk7iJFXBJ3NKQpYo2V.jpeg?asset_id=2658,Apple Farm land,2,Kacha Road,0.35,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0,Water from Government,,Burnt within the premises,,Yes,5,No,,None,,,,,,,Others,none,"[""Support via Schemes""]",No,,No,,None,,Others,local fertilizer,Others,fence,Rainfed,,Others,rainfed,"[""Others""]",7000,100,potatoes,1-100,None,None,None,None,"[""Others""]","[""Others""]"
2659,2019-03-28 05:40:23,Agriculture,Farm land,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53476,91.71709,Approved,https://smartvillage.imagetrekk.com/storage/images/UoziHc9eXYMH0FhgSFOorB7aZT9SlAF0fOP2tyY1.jpeg?asset_id=2659,Kiwi farm land,2,Kacha Road,0.35,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",0,Water from Government,,Burnt within the premises,,Yes,6,No,,None,,,,,,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,None,,Others,local fertilizer,Others,fence,Rainfed,,Others,rainfed,"[""Others""]",10000,60,potatoes,1-100,None,None,None,None,"[""Others""]","[""Others""]"
2728,2019-03-30 10:13:05,Agriculture,Farm land,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14152,95.74236,Approved,https://smartvillage.imagetrekk.com/storage/images/D43COzZTb8zR2rLp2i5nmUviwRdOUtpJfJQufjQu.jpeg?asset_id=2728,bamboo garden,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,Others,by Own,None,,None,,Rainfed,,Others,rain water,"[""Others""]",2500,8000,bamboo,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Mini Luggage Transport Vehicle""]"
2730,2019-03-30 10:29:25,Agriculture,Farm land,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14269,95.74121,Approved,https://smartvillage.imagetrekk.com/storage/images/1hwV2wikvfZurDTxF0F4FZGd9DzAXHZGZOlEVPOH.jpeg?asset_id=2730,fruit garden,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Others,nil,"[""None""]",No,,No,,Others,by own,None,,None,,Rainfed,,Others,rain water,"[""Others""]",3000,7000,"lichhi, pineapple, palm leave, etc",1-100,Others,Others,Others,Others,"[""Others""]","[""2 Wheeler""]"
