id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,What type of Open well it is by your observation?,Who built the Open well?,What is the material that is primarily used to case the Open well ?,The Open well is connected to which of the following assets ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,What is the capacity of the connected Structure ?,How do people fetch water from the Open well ?,What is the depth of the Open well that you can observe?,What are the assets that you can observe near the Open well ?,Are people using this open well on a regular basis?,For what purpose(s) are they using the water?,Were people drinking the water from this bore well while you visited this spot?,Would you drink the water from this bore well?,Are there any charges which come when getting water from this bore well?,What does one liter of water cost (in rupees)?,What is the frequency of technical maintenance or safety audit ?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?,How many times is the quality of water being checked?
4067,2019-05-09 12:59:20,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59699,93.8424,Approved,https://smartvillage.imagetrekk.com/storage/images/R7x1Mp11ddnQ8mGVHsij89hONoWx2jekl6z08RzV.jpeg?asset_id=4067,duyu sukung,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,Storage tanks/ Underground tanks,500,500,500,500,Others,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Monthly,Monthly,Monthly,Monthly,Monthly
4072,2019-05-09 12:59:32,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Kalong,27.59456,93.83929,Approved,https://smartvillage.imagetrekk.com/storage/images/x9vCLWWrxDC3LXEd04pVLO5ElFGFCFxHzzwv4l8N.jpeg?asset_id=4072,subu sukung,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Deep Bore well,Naturally found,Cement,Over ground tanks,100,100,100,100,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Never,Yearly,Yearly,Yearly,Yearly,Yearly
4073,2019-05-09 12:59:32,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Kalong,27.595,93.84156,Approved,https://smartvillage.imagetrekk.com/storage/images/QkUkd1BlcuQJmwfq6MhA4PbaSpAQpl0ve6OWjOCn.jpeg?asset_id=4073,kalong sukung,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,None,,,,,None,51-70m,"[""None""]",Yes,"[""Drinking water""]",No,Yes,No,,Monthly,Yearly,Yearly,Yearly,Yearly,Yearly
4074,2019-05-09 12:59:33,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Kalong,27.59397,93.84136,Approved,https://smartvillage.imagetrekk.com/storage/images/aJUTXec0HbBEfctMJAz2d0LfaLMRowg9oBxI2HfS.jpeg?asset_id=4074,mom sukung,Pakka Road,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,Storage tanks/ Underground tanks,500,500,500,500,None,51-70m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Monthly,Monthly,Monthly,Monthly,Monthly
4076,2019-05-09 12:59:33,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Kalong,27.59569,93.84062,Approved,https://smartvillage.imagetrekk.com/storage/images/I6SdMOO8EP9VOc4HeRDQifMprghEtWsPCqqCUPFN.jpeg?asset_id=4076,taliyang sukung,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,None,,,,,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Monthly,Yearly,Yearly,Yearly,Yearly,Yearly
4140,2019-05-09 17:55:12,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59608,93.84174,Approved,https://smartvillage.imagetrekk.com/storage/images/SKs2aQ7jWvaApGsp6V8ybGqEyxFjKEtmQnYYxOqa.jpeg?asset_id=4140,Nani sukung,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,None,,,,,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Monthly,Yearly,Yearly,Yearly,Yearly,Yearly
4282,2019-05-10 01:34:15,Water,Open Wells,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.58879,93.89939,Approved,https://smartvillage.imagetrekk.com/storage/images/hubEV8HB8bfp5dM7zLWU2W2UBJupylhazW3KRYhJ.jpeg?asset_id=4282,sukung 2,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Communities,Cement,Others,4000,4000,4000,4000,With Simple Bucket and Rope,30-50 m,"[""None""]",Yes,"[""Drinking water"",""Livestocks "",""Farming "",""Others ""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
4286,2019-05-10 01:34:28,Water,Open Wells,bullo tatung,Community,Not in Use,Lower Subansiri,Ziro,Hija,27.56756,93.83553,Approved,https://smartvillage.imagetrekk.com/storage/images/SSAvN4G0OLyolUsA0Ov8BWBWXlReRqlEvbZMF76X.jpeg?asset_id=4286,hija sukung 1,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Communities,Cement,Others,2000,2000,2000,2000,With Simple Bucket and Rope,30-50 m,"[""None""]",No,,No,No,No,,Never,Never,Never,Never,Never,Never
4430,2019-05-10 09:34:19,Water,Open Wells,padi tara,Community,Not in Use,Lower Subansiri,Ziro,Reru,27.60022,93.84359,Approved,https://smartvillage.imagetrekk.com/storage/images/kv9CCaT4IlwXrv5d2OiHsJAt2fA5xuH1OyEYb8NO.jpeg?asset_id=4430,water tanks,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Communities,Cement,Storage tanks/ Underground tanks,1000,1000,1000,1000,None,Above 150m,"[""None""]",No,,No,No,No,,Never,Never,Never,Never,Never,Never
4446,2019-05-10 10:02:46,Water,Open Wells,padi tara,Community,Not in Use,Lower Subansiri,Ziro,Reru,27.60022,93.84359,Rejected,https://smartvillage.imagetrekk.com/storage/images/gWYsdOXgClvtlePPl6FeFR6ZDQqG0p3kvkIBW0Px.jpeg?asset_id=4446,water tanks,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Communities,Cement,Storage tanks/ Underground tanks,1000,1000,1000,1000,None,Above 150m,"[""None""]",No,,No,No,No,,Never,Never,Never,Never,Never,Never
4542,2019-05-10 12:45:39,Water,Open Wells,bullo tatung,Community,Repairable,Lower Subansiri,Ziro,Hija,27.56048,93.83354,Approved,https://smartvillage.imagetrekk.com/storage/images/RkX9s5nkLyEM6P4SUXuW4C27DITq82Uh57P6H3At.jpeg?asset_id=4542,nending sukung/open well,Pakka Road,2G Reliable,"[""BSNL "",""Vodafone "",""Airtel ""]","[""BSNL "",""Vodafone "",""Airtel ""]","[""BSNL "",""Vodafone "",""Airtel ""]","[""BSNL "",""Vodafone "",""Airtel ""]","[""BSNL "",""Vodafone "",""Airtel ""]","[""BSNL "",""Vodafone "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Communities,Cement,Over ground tanks,5000,5000,5000,5000,With Simple Bucket and Rope,30-50 m,"[""None""]",No,,No,No,No,,Irregular,Irregular,Irregular,Irregular,Irregular,Irregular
4694,2019-05-11 12:41:29,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59689,93.84356,Approved,https://smartvillage.imagetrekk.com/storage/images/ihmSjbGj4L7UL24j7IOlTolTfZ57a6LgSuk9IGLl.jpeg?asset_id=4694,habung sukung 3,Footway,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Communities,Cement,Storage tanks/ Underground tanks,500,500,500,500,None,91-120m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Monthly,Yearly,Yearly,Yearly,Yearly,Yearly
4705,2019-05-11 12:44:08,Water,Open Wells,padi tara,Community,In Use,Lower Subansiri,Ziro,Reru,27.59677,93.84332,Approved,https://smartvillage.imagetrekk.com/storage/images/N7jakJU8MS2tCXSe8PURsiu8fJUac6aKruHAnt6j.jpeg?asset_id=4705,habung sukung 2,Footway,2G Reliable,"[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]","[""Vodafone "",""Airtel "",""BSNL ""]",Others,"[""None""]",Shallow Bore well,Naturally found,Cement,Storage tanks/ Underground tanks,500,500,500,500,None,51-70m,"[""None""]",Yes,"[""Drinking water""]",No,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
5337,2019-05-14 09:39:10,Water,Open Wells,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58442,93.84482,Approved,https://smartvillage.imagetrekk.com/storage/images/2y7P1aFnmRCw70BD1K7G9jCFKSSG6L5hnJ2MVvT1.jpeg?asset_id=5337,Doging Sukung,Pakka Road,2G Unreliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Concrete,"[""None""]",Shallow Bore well,Naturally found,Cement,None,,,,,With Simple Bucket and Rope,30-50 m,"[""Septic Tank""]",No,,No,No,No,,Never,Never,Never,Never,Never,Never
5460,2019-05-15 12:31:39,Water,Open Wells,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa Village,27.11258,93.78936,Approved,https://smartvillage.imagetrekk.com/storage/images/iuCDaIdOru7n77g8lFDjaemWfWlIYwuFZKQ2yPzJ.jpeg?asset_id=5460,_,Kacha Road,3G Unreliable,"[""Airtel ""]","[""Airtel ""]","[""Airtel ""]","[""Airtel ""]","[""Airtel ""]","[""Airtel ""]",Concrete,"[""None""]",Deep Bore well,Others,Cement,Others,1000,1000,1000,1000,Electrical Motor,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Monthly,Monthly,Monthly,Monthly,Monthly
6329,2019-05-27 05:05:41,Water,Open Wells,ngilyang thaka,Community,In Use,Lower Subansiri,Ziro,Tajang,27.54294,93.88966,Approved,https://smartvillage.imagetrekk.com/storage/images/bI3LWfYFK7lvuHxyfzjB1H1fDW3srXDMMphCfnpk.jpeg?asset_id=6329,open well 1,Pakka Road,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Deep Bore well,Communities,Others,Others,10000,10000,10000,10000,None,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Never,Never,Never,Never,Never,Never
6330,2019-05-27 05:05:46,Water,Open Wells,ngilyang thaka,Community,In Use,Lower Subansiri,Ziro,Tajang,27.56486,93.86768,Rejected,https://smartvillage.imagetrekk.com/storage/images/cVM1njqRhwynRXOq758Xx9mQxtEg9PSkbzxqSpFT.jpeg?asset_id=6330,open well2,Pakka Road,2G Reliable,"[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]","[""Vodafone "",""BSNL "",""Airtel ""]",Others,"[""None""]",Shallow Bore well,Communities,None,Others,10000,10000,10000,10000,With Simple Bucket and Rope,30-50 m,"[""None""]",Yes,"[""Drinking water""]",Yes,Yes,No,,Yearly,Yearly,Yearly,Yearly,Yearly,Yearly
