id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,What are the other source of water you depend upon?,How do you deal with the waste generated from the fish pond?,What are the other mechanism used to discard the waste from the fish pond?,Do you have grid connection for energy supply for the fish pond?,How many hours per day are you facing power cuts in the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What other recording mechanisms are used in the asset?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,What is the name of the organization?,Are you using digital technologies that can be used in the fish pond?,For what purpose are you using digital tools here at the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are other sources are used to get needed inputs?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What types of fish are produced in the fish pond?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
3854,2019-05-08 09:32:40,Fisheries,Fish Pond,tassar gucarp,Private,In Use,Papumpare,Gumto,Gumto,27.13616,93.80652,Approved,https://smartvillage.imagetrekk.com/storage/images/tJ0BX8HpXDD7OMipfRiWagZK0N4e4Lg2ffM1Afsp.jpeg?asset_id=3854,need government scheme for flood control,5,Kacha Road,0,4G+ Reliable,"[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""BSNL"",""Jio"",""Airtel"",""Vodafone""]","[""None""]",2,River or Canal,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Village Meeting""]",100,grass carp,200,"[""Farmers""]","[""2 Wheeler""]",Based on market price
3855,2019-05-08 09:57:50,Fisheries,Fish Pond,tassar gucarp,Government,In Use,Papumpare,Gumto,Gumto,27.13943,93.7996,Approved,https://smartvillage.imagetrekk.com/storage/images/FTvslk0GXxRZKyGedcxAKZcXgRfUwM5LvH49aMKe.jpeg?asset_id=3855,required staff quarter and boundaries wall,5,Pakka Road,6,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""None""]",3,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Village Meeting""]",100,"IMC, exotic carp",200,"[""Farmers""]","[""2 Wheeler""]",Government fixed
4889,2019-05-12 10:15:11,Fisheries,Fish Pond,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58525,93.84551,Approved,https://smartvillage.imagetrekk.com/storage/images/n8eUIOWtrCBdSajwwpIsv5K5cdE6TMbC4C2UW5p0.jpeg?asset_id=4889,fish farm 2,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",2,Ground Water,,Discarded in Water Bodies,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents"",""Others""]",500,silver carp,100,"[""Farmers""]","[""Head Load""]",Based on market price
4908,2019-05-12 10:17:29,Fisheries,Fish Pond,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60295,93.84152,Approved,https://smartvillage.imagetrekk.com/storage/images/uTaTFC8v62s5rS1kv3xNVyuCRNuZRTomimnpvZK5.jpeg?asset_id=4908,keliya fish pond,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",5,River or Canal,,Discarded in Water Bodies,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents"",""Others""]",500,silver carp,100,"[""Farmers""]","[""Head Load""]",Based on market price
4974,2019-05-12 10:33:35,Fisheries,Fish Pond,ngilyang thaka,Private,In Use,Lower Subansiri,Ziro,Molyang (Tajang),27.59651,93.86494,Approved,https://smartvillage.imagetrekk.com/storage/images/BYfXYS7aSTKJ8BRtGqwRuruPWcQzg6x3qTtYw76k.jpeg?asset_id=4974,fish pond 1,3,Kacha Road,3,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",4,Spring Water,,Discarded in Open Field,,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""Fertilizer""]","[""Fertilizer""]","[""Others""]",2000,common carp,280,"[""Farmers""]","[""2 Wheeler""]",Based on market price
5148,2019-05-13 17:52:43,Fisheries,Fish Pond,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.6118,93.86746,Approved,https://smartvillage.imagetrekk.com/storage/images/thzyjwpIsijPd0yH2k8lX61lxJuT8ocNrt8g3vfM.jpeg?asset_id=5148,fish pond,1,Kacha Road,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""None""]",2,Ground Water,,Discarded in Water Bodies,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,None,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents"",""Others""]",500,silver carp,100,"[""Farmers""]","[""Head Load""]",Based on market price
5449,2019-05-15 06:16:39,Fisheries,Fish Pond,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58787,93.84489,Approved,https://smartvillage.imagetrekk.com/storage/images/qDMjLTC6Kl7HfsFcWDuktbVAjKFD8gd3BeaOXY3V.jpeg?asset_id=5449,fish pond,1,Kacha Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",0,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,no re,"[""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"common carp, grass carp",200,"[""Farmers"",""Others""]","[""Head Load""]",Based on market price
5450,2019-05-15 06:16:41,Fisheries,Fish Pond,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58787,93.84504,Approved,https://smartvillage.imagetrekk.com/storage/images/enfgUPIGGCVSnNX1gVMIqAVODHkzDQ85s63hwtUY.jpeg?asset_id=5450,fish pond,1,Kacha Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",0,Ground Water,,Discarded in Open Field,,No,,None,,,,,,,Traditional Book Keeping,,"[""Support via Subsidies""]",no,,No,,Government Agency,,"[""None""]","[""None""]","[""Others""]",200,"common carp ,grass carp,local fish",20,"[""Farmers"",""Others""]","[""Head Load""]",Based on market price
5467,2019-05-15 12:34:00,Fisheries,Fish Pond,phassang kamak,Private,In Use,Papumpare,Banderdewa,Kharsingsa,27.11395,93.7772,Approved,https://smartvillage.imagetrekk.com/storage/images/yPZ4upWxsC1NQ2mB8iKpKkbBAHy534S8af2xpDMc.jpeg?asset_id=5467,Require financial support from Govt,1,Kacha Road,1,Nil,,,,,,,"[""Compound Wall\/ Fencing""]",1,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""None""]","[""None""]","[""Marketing team\/ Sales Agents""]",500,grass carp,200,"[""Farmers""]","[""Head Load"",""2 Wheeler""]",Based on market price
5582,2019-05-16 07:03:45,Fisheries,Fish Pond,taba rancho,Private,Repairable,Papumpare,Toru,Dokte Hoj,27.25422,93.80913,Approved,https://smartvillage.imagetrekk.com/storage/images/CufVZ2E29ZZT7TsUV6lUkDxVzQyBWuhDY2F4Bqns.jpeg?asset_id=5582,good,10,Kacha Road with Block Point,3,4G+ Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,River or Canal,,None,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",yes,private,No,,Others,no,"[""Others""]","[""Others""]","[""Others""]",1,"kamol carp,local fish",120,"[""Others""]","[""Others""]",Other
5633,2019-05-16 13:10:50,Fisheries,Fish Pond,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5722,93.84557,Approved,https://smartvillage.imagetrekk.com/storage/images/FqRdko8oMeUT1qeKTlKVCJRtETUiBebowXwxWnvR.jpeg?asset_id=5633,fish farm no.6 at Dobi Putu,4,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",320,"common carp, silver carp",300,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]",Based on market price
5731,2019-05-18 05:41:26,Fisheries,Fish Pond,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57165,93.84548,Approved,https://smartvillage.imagetrekk.com/storage/images/3lgbHHGXaAyuq2LqAZ6mTwW8eDA6k89SajKRJKTC.jpeg?asset_id=5731,fish pond no.1 at Dobi putu,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",2,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",80,"silver carp, common carp",250,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker""]",Based on market price
5732,2019-05-18 05:42:12,Fisheries,Fish Pond,tage tajung,Private,Repairable,Lower Subansiri,Ziro,Modang Tage,27.57179,93.84572,Approved,https://smartvillage.imagetrekk.com/storage/images/tr1UEgYfD0WoJjoZR8ejYPTpfDCkM9eH2hOoIF7J.jpeg?asset_id=5732,Fish pond no.2 near at Dobi Putu,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",32,"silver carp, common carp",250,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]",Based on market price
5733,2019-05-18 05:42:28,Fisheries,Fish Pond,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57158,93.8458,Approved,https://smartvillage.imagetrekk.com/storage/images/TTEGIDJQjs14qdGU9UtkKdqpze5dcgREaaLs6Tyy.jpeg?asset_id=5733,private fish farm no.4 at Tadu Dobi Putu,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",3,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",120,"common carp, silver carp",300,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]",Based on market price
5734,2019-05-18 05:42:45,Fisheries,Fish Pond,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57195,93.84572,Approved,https://smartvillage.imagetrekk.com/storage/images/Hw2YIZRZQMvgbhgEg5yKX0J0OUMfAagJJps7dqTk.jpeg?asset_id=5734,private fish farm no. 3 at Dobi Putu,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Compound Wall\/ Fencing""]",2,Ground Water,,Burnt within the premises,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",no,,No,,Local Supplier,,"[""Fertilizer""]","[""Fertilizer""]","[""Village Meeting""]",100,silver carp. common carp,300,"[""Farmers""]","[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]",Based on market price
