id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the facility until it was open?,What is the type of the road available to the facility?,How much distance should one travel from the facility to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the facility?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the facility?,What is the type of security available for the facility?,What are the working hours of the facility?(Ex: 9.00A.M-5.P.M),What are the working days of the facility?,How many staff are employed in the facility?,How many labour are employed in the facility?,Where do you get drinking water from for using at the facility?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for the facility?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the facility?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the facility?,What are the other mechanism used to discard the waste from the unit?,Are the premises of facility cleaned with disinfectant regularly?,How frequently are the premises at the facility cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the facility?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the facility?,What is the number with STD Code of the unit?,Does the facility have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations of the facility?,What are the other record mechanism used in the facility?,What are the areas the facility gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the facility?,What is the name of the organization?,Are you using any digital technologies that can be used in the facility?,For what purpose are you using digital tools here at the unit?,Where do you procure inputs required for the facility?,What are other sources are used to get needed inputs?,What are different organic inputs available in the facility?,Where do you store the agri inputs sold in the shop?,What are the other storage mechanism used in the facility?,How many cubic meters are available for storage?,How does the facility advertise about the services available?,What is the average operational cost per month to run the facility?(Excluding Salary of the Employees),What is the total average income per month generated from the facility?,How many types of inputs are available in the facility?,What are the 5 major type of inputs purchased by the customers from the facility?,What is the average cost of the top 5 most purchased goods in facility?(In Rupees),Which type of customers purchase the inputs from the facility?,How many customers purchase the inputs from the facility in a year?,How do the customers transport goods from the facility?
4802,2019-05-11 18:17:42,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57291,93.83038,Rejected,https://smartvillage.imagetrekk.com/storage/images/337wkreGKtnk1CpASq8NsSRStBmNABrd1b0iJ09N.jpeg?asset_id=4802,The local grenery house Locally called Nesu Ude No. (7),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,32,"[""Village Meeting ""]",10000,15000,5,Rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4803,2019-05-11 18:17:59,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57307,93.83072,Rejected,https://smartvillage.imagetrekk.com/storage/images/NQerhS9sZZFfHUyk6t73JiV6Gd9KJT9CkwYpBfum.jpeg?asset_id=4803,The local grenery house Locally called Nesu Ude no. (8),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,21,"[""Village Meeting ""]",10000,15000,5,Rice Maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4804,2019-05-11 18:18:16,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57293,93.83023,Rejected,https://smartvillage.imagetrekk.com/storage/images/0lIv3zOvdED2VDzmisKe0uyGRdIQNXeSKxCydRYu.jpeg?asset_id=4804,The local grenery house Locally called Nesu Ude no. (9),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,41,"[""Village Meeting ""]",10000,15000,5,Rice maize vegetables and fruits,201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4805,2019-05-11 18:18:31,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57319,93.83032,Rejected,https://smartvillage.imagetrekk.com/storage/images/7Pw2AO0BwzMFIMg7A9KYoSSZJQjuBYDhpBNSkAcG.jpeg?asset_id=4805,The local grenery house Locally called Nesu Ude no. (10),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,54,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4806,2019-05-11 18:18:51,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57328,93.83083,Rejected,https://smartvillage.imagetrekk.com/storage/images/xaorGUoYaGdJ60sMVlS7GDFfxzGYQTYw6ZR1FFKw.jpeg?asset_id=4806,The local grenery house Locally called Nesu Ude No.(11),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,51,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4807,2019-05-11 18:19:07,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57322,93.83061,Rejected,https://smartvillage.imagetrekk.com/storage/images/SxtdTINO3Lp8L22K7iZYQnakhptAkQIMLcj0FLwt.jpeg?asset_id=4807,The local grenery house Locally called Nesu Ude No.(12),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,32,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers"",""Others""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4808,2019-05-11 18:19:23,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57318,93.83042,Rejected,https://smartvillage.imagetrekk.com/storage/images/jQVMmcXl9XI9DaWFZZTfI3UUOeuT0GZq9g65UVla.jpeg?asset_id=4808,The local grenery house Locally called Nesu Ude No. (13),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",2,2,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,32,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4809,2019-05-11 18:19:53,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.55991,93.82744,Rejected,https://smartvillage.imagetrekk.com/storage/images/RBRFhZCispo6tUVF2Sf4LdQsX2Qvqe4GmQpLfbKn.jpeg?asset_id=4809,Private paiddy field number. (1) near Mudang Tage village gate,6,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,23,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4810,2019-05-11 18:20:14,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57226,93.83222,Rejected,https://smartvillage.imagetrekk.com/storage/images/ZZ2ntovfehkkkD8I4TMTP6ezsnbLfK0TmPVme6b8.jpeg?asset_id=4810,The paiddy field number. (2) near village gate,6,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,15,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4811,2019-05-11 18:20:36,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57232,93.83296,Rejected,https://smartvillage.imagetrekk.com/storage/images/wq45fEGQKVwCQ6naDNilgRvEHDCKN7ZyiGgD0OFs.jpeg?asset_id=4811,Paiddy field number. (3) near main road side,3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Friday "",""Thursday"",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,45,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""Tempo\/Auto"",""2 Wheeler"",""Sumo\/Tracker"",""Others""]"
4812,2019-05-11 18:21:04,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57234,93.83244,Rejected,https://smartvillage.imagetrekk.com/storage/images/DwrElkaG3Ve1f9cXrmKmW7mELfSt6J8rIc5QlihS.jpeg?asset_id=4812,Paiddy field number. (4),4,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,32,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4813,2019-05-11 18:21:26,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57174,93.83461,Rejected,https://smartvillage.imagetrekk.com/storage/images/b45HZwdAb2xAy11KKm99xUOG0dSzJMKrz77DKkTh.jpeg?asset_id=4813,Paiddy field number. (5) near biirii area,3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,55,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4814,2019-05-11 18:21:44,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57224,93.83563,Rejected,https://smartvillage.imagetrekk.com/storage/images/VACPAW3n8VVRL84r6nOBKJKSn35nTs7f2Akj5w1M.jpeg?asset_id=4814,Paiddy field number (6) of Mudang Tage village,3,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday ""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,65,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4815,2019-05-11 18:22:00,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57264,93.8365,Rejected,https://smartvillage.imagetrekk.com/storage/images/ee7fqgUA0UtIkJrYwBGMuZRgoQbj6b5pfLnN9sdl.jpeg?asset_id=4815,Paiddy field number (7) near Laye lembo (road),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,24,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4816,2019-05-11 18:22:15,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5733,93.83703,Rejected,https://smartvillage.imagetrekk.com/storage/images/AQ99ppjL3SKZA3ie7MtPVyU4ZTHaLSxkEp7MHNmc.jpeg?asset_id=4816,Paiddy field number (8) near Laye lembo,2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,8,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,33,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4817,2019-05-11 18:22:31,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57368,93.83749,Rejected,https://smartvillage.imagetrekk.com/storage/images/5AjOe0MRXuNeHXPIiM3qAgko6FHqf2moHIWXNgAx.jpeg?asset_id=4817,Paiddy field number (9),2,Kacha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Friday "",""Thursday"",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,12,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4818,2019-05-11 18:22:56,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.5718,93.83403,Rejected,https://smartvillage.imagetrekk.com/storage/images/PFEsyMtx6m2391dayuStmI3AWY12FZY62vK5eZud.jpeg?asset_id=4818,Paiddy field number. (10) near Biirii road,3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",5,5,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Fertilizers"",""Pesticides""]",Private Godown/Warehouse,,55,"[""Village Meeting ""]",10000,15000,5,rice maize vegetables and fruits,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others""]"
4819,2019-05-11 18:23:19,Agriculture,Agriculture Input Shops/ Suppliers,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.56666,93.84163,Rejected,https://smartvillage.imagetrekk.com/storage/images/qmUrw6oFVMQueEobcv6Kyn4jSJUX8BnKmjk0omYx.jpeg?asset_id=4819,The Kiwi garden no.(1) at biirii,3,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",9:0 to 5:0,"[""Monday "",""Tuesday"",""Wednesday"",""Thursday"",""Friday "",""Saturday""]",10,10,Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes""]",No,,No,,Local Supplier,,"[""Pesticides"",""Fertilizers""]",Within the shop,,32,"[""Village Meeting ""]",15000,25000,5,rice maize vegetables fruits and Kiwi,201-300,"[""Farmers""]",5,"[""2 Wheeler"",""Tempo\/Auto"",""Sumo\/Tracker"",""Others"",""Head Load""]"
