id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Are there toilets available for public usage and for the employees at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the washrooms?,Is there soap available for hand-wash ?,How do you deal with the waste created from visitors at this site?,What are the other mechanism used to discard the waste from this asset?,Do you use digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Select the categories applicable,How much do you pay per litre of bottled water?,What is the footfall in a week?,How do you document the visitors coming to your site?,On which months do you receive the maximum number of customers?,What is the entry fee charge?,How is the place advertised to prospective visitors?,Is the site listed in the tourism department’s website?,Which of the following does the compound have?,Which of the following provisions are available?,What are the provisions available for the differently abled?,What other provisions are available for the differently abled?,How often is the cleaning and maintenance work done in the spot?,Are there entities working for the conservation of the spot?,Name the entity,Describe the involvement of the local community in the running and management of the structure?,What makes this site special and unique compared to similar sites?
3078,2019-04-29 08:08:05,Tourism,Nature Related,nabam banio,Government,In Use,Papumpare,Itanagar,Jollang,27.09168,93.61863,Rejected,https://smartvillage.imagetrekk.com/storage/images/xW9n08hVKKAkM22Vh0H912cxjKui64IQ3B3QkY2I.jpeg?asset_id=3078,bad,Pakka Road,2,4G Reliable,"[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]","[""Vodafone"",""BSNL"",""Jio""]",Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,[],Lake,,312,Others,"[""December""]",5,"[""Newspaper advertisements ""]",No,"[""Dustbins""]","[""Boating""]",None of the above,,Everyday,No,,No Involvement,
3110,2019-04-30 07:01:57,Tourism,Nature Related,kejang pema,Government,In Use,West Kameng,Dirang,Dirang,27.33664,92.27292,Approved,https://smartvillage.imagetrekk.com/storage/images/BNEkfQyqBQLWtqV6qScMb0uxh8QDUPY0itrRsD2s.jpeg?asset_id=3110,overflow water from intake under hydropower,Pakka Road,0.4,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,,No,,,,Discarded in Open Field,,No,,River,,0,No documentation,"[""June""]",0,"[""None of the above""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Less than once a week,No,,No Involvement,
3267,2019-05-04 11:36:14,Tourism,Nature Related,taba rancho,Government,Ir-repairable,Papumpare,Toru,Dokte Hoj,27.25676,93.77146,Rejected,https://smartvillage.imagetrekk.com/storage/images/hHAvlGeNA4kNp1La2JPBZwUTUdGWayP6mcr1POAg.jpeg?asset_id=3267,bed,Kaccha Road,5,,,,,,,,Others,4,No,,,,Discarded in Open Field,,No,,Others,4,3,Traditional Book Keeping,"[""March""]",2,"[""None of the above""]",Yes,"[""Public Washrooms""]","[""None of the above""]",Others,2,Once a week,Yes,rwd,No Involvement,
3419,2019-05-05 14:23:33,Tourism,Nature Related,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.58792,93.83977,Approved,https://smartvillage.imagetrekk.com/storage/images/PnNGghCyDG0k8lZCMtJkjkJkkE3PnxPDQQj2nNb6.jpeg?asset_id=3419,Seno Resort (1) owned by Tage Tachang at biirii,Kaccha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Pond,,2,Traditional Book Keeping,"[""January"",""June"",""July"",""December""]",0,"[""Word of mouth from former customers"",""Social Media""]",No,"[""Public Washrooms"",""Display of information about the structure"",""Parking area""]","[""Boating""]",None of the above,,Everyday,No,,No Involvement,Boating facility and fishing & angling
3420,2019-05-05 14:23:53,Tourism,Nature Related,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.48893,93.82331,Approved,https://smartvillage.imagetrekk.com/storage/images/5osVLIdB5p1F0U6gOCKI5mex12jQu5thUqGERrWx.jpeg?asset_id=3420,Semi private tie with tourism department Golden Resort (2) owned by Tage Padi at biirii,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,Yes,Yes,Yes,Yes,Burnt within the premises,,No,,Others,20,3,Digital Records,"[""September"",""January"",""December"",""July""]",0,"[""Advertising by the tourism dept"",""Social Media""]",Yes,"[""Parking area"",""Display of information about the structure"",""Public Washrooms"",""Dustbins""]","[""Tour guides"",""Photographers on the site "",""Safaris or other on-site vehicle facilities""]",None of the above,,Everyday,Yes,village tour,No Involvement,"Local dish, fooding & loading"
3629,2019-05-06 11:52:42,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57409,93.83001,Rejected,https://smartvillage.imagetrekk.com/storage/images/4TycQSEDpIDnd1AHf9res2LTzairZdhXPYBzbarH.jpeg?asset_id=3629,The Apatani Lapang with Babo (community stage) from Nako Lapang of Liagi Tage Clans number (1),Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""July"",""March"",""December""]",0,"[""Word of mouth from former customers""]",Yes,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,High Involvement,This site is unique and special for Apatani tribe in festival time and any village
3630,2019-05-06 11:52:51,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57368,93.83023,Rejected,https://smartvillage.imagetrekk.com/storage/images/nx6v3vHifQxUkwgnlLVQyL4d9QzC9SUoS7K1PmsK.jpeg?asset_id=3630,Apatani Lapang Babo no (2) from Nami Lapang of Nami Tage clan,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,[],Others,20,6,No documentation,"[""January"",""March"",""July"",""December""]",0,"[""Word of mouth from former customers""]",Yes,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,High Involvement,This is common community stage.
3643,2019-05-06 11:56:06,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57447,93.82995,Approved,https://smartvillage.imagetrekk.com/storage/images/ItghiJYSpJ1Da90NSvCS5HBYpSC1de04fbs3oKuN.jpeg?asset_id=3643,Apatani Cultural Lapang no. (3) from Liagi Tage clan,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""March"",""July"",""December""]",0,"[""Word of mouth from former customers""]",Yes,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,High Involvement,"Locally called Lapang, Apatani Cultural stage."
3645,2019-05-06 11:56:34,Tourism,Nature Related,tage tajung,Religion,In Use,Lower Subansiri,Ziro,Modang Tage,27.57364,93.8311,Approved,https://smartvillage.imagetrekk.com/storage/images/xfQeRChGlHPPlH3AgRAIzHgkxloJWhZnz0ubAsx5.jpeg?asset_id=3645,"Locally called Pamu Aggian, ( Ritual place) no. (1) from Buru title clan.",Kaccha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""February"",""March"",""July"",""December""]",0,"[""Word of mouth from former customers""]",No,"[""Display of information about the structure""]","[""None of the above""]",None of the above,,Less than once a week,No,,High Involvement,Pamu Aggian Ritual place of Apatani people used in Myoko festival on March month
3648,2019-05-06 11:57:23,Tourism,Nature Related,tage tajung,Religion,In Use,Lower Subansiri,Ziro,Modang Tage,27.57469,93.82981,Approved,https://smartvillage.imagetrekk.com/storage/images/6QXtDKSiI5WgTAa2pTL0zClyFJyQFcPxG6A9ETqb.jpeg?asset_id=3648,Locally called Nago Ude ( Ritual house) for all Mudang Tage peoples.,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""February"",""July"",""December""]",0,"[""Word of mouth from former customers""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,High Involvement,It's ritual house perform in Myoko festival at March month
3650,2019-05-06 11:57:47,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57562,93.82994,Approved,https://smartvillage.imagetrekk.com/storage/images/qQQTkmZf4eCkIYOWN1d4DMS92UasAWgU7gpmsMMS.jpeg?asset_id=3650,Locally called Tadu Lapang (Traditional local stage) from Tadu clan.,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""February"",""March"",""July"",""December""]",0,"[""Word of mouth from former customers""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Once a week,No,,High Involvement,It's local traditional stage.
4845,2019-05-12 03:42:55,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57256,93.83259,Rejected,https://smartvillage.imagetrekk.com/storage/images/9Scbj2id2KFFWRCXalK5qICrhvBFStPzsIPSnm7u.jpeg?asset_id=4845,Mudang Tage village Gate for tourist attraction,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,20,No,,,,Burnt within the premises,,No,,Others,20,6,No documentation,"[""January"",""February"",""March"",""July"",""December""]",0,"[""Word of mouth from former customers""]",Yes,"[""None of the above""]","[""Tour guides""]",None of the above,,Once a week,Yes,Heritage stone and spade found,Satisfactory involvement,Because of heritage site found
5025,2019-05-13 07:03:22,Tourism,Nature Related,taba rancho,Private,Ir-repairable,Papumpare,Toru,Dokte Hoj,27.25759,93.79571,Rejected,https://smartvillage.imagetrekk.com/storage/images/ko9mN0z3YY2OKBNt21hDqKzN3IhsOGIuizR3mNAy.jpeg?asset_id=5025,bad,Kaccha Road,2,4G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]",Tap Water from Government,,No,,,,Others,throw water,No,,Forest,,3,Traditional Book Keeping,"[""January"",""February"",""April"",""March"",""November"",""December""]",0,"[""None of the above""]",No,"[""None of the above""]","[""None of the above""]",Others,forest,Everyday,No,,No Involvement,
5521,2019-05-16 04:14:06,Tourism,Nature Related,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.5735,93.8309,Approved,https://smartvillage.imagetrekk.com/storage/images/bmAAgbYDoCHEAGThaVeKjrLCOigNq26phOSiLRte.jpeg?asset_id=5521,Biggest and Largest fine tree of Mudang Tage village near Buru Tath house,Kaccha Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",Tap Water from Government,,No,,,,Burnt within the premises,,No,,Forest,,6,No documentation,"[""January"",""February"",""March"",""July"",""December"",""November""]",0,"[""Word of mouth from former customers""]",No,"[""None of the above""]","[""None of the above""]",None of the above,,Alternative days,No,,Minimal involvement,this site is unique for community tree of Mudang Tage village biggest fine tree
5587,2019-05-16 08:18:13,Tourism,Nature Related,taba rancho,Private,Ir-repairable,Papumpare,Toru,Dokte Hoj,27.25782,93.80548,Rejected,https://smartvillage.imagetrekk.com/storage/images/CR3CqFnFPFiLUPHVWQITdMIZUeZ613lNErZwwM9d.jpeg?asset_id=5587,bad,Kacha Road with Block Point,3,4G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]",Others,,No,,,,Others,throw jungle,No,,Forest,,2,Traditional Book Keeping,"[""January"",""February"",""August"",""July"",""June"",""May"",""April"",""March"",""September"",""October"",""November"",""December""]",0,"[""None of the above""]",No,"[""None of the above""]","[""None of the above""]",Others,no,Everyday,No,,Minimal involvement,
5778,2019-05-19 03:36:53,Tourism,Nature Related,dobum raju,Private,In Use,Papumpare,Doimukh,Doimukh,27.14632,93.74667,Pending,https://smartvillage.imagetrekk.com/storage/images/brM6PMsvGUYdxmqboBqgLifNNvu9IJcccF940Ksz.jpeg?asset_id=5778,good,Kaccha Road,0.5,4G Reliable,"[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""Idea"",""BSNL"",""Jio"",""Airtel""]",Bottled Water,20,Yes,No,No,No,Burnt within the premises,,No,,River,20,100,Traditional Book Keeping,"[""January"",""February"",""November"",""December""]",500,"[""None of the above"",""Social Media""]",No,"[""Parking area"",""Dustbins""]","[""Photographers on the site ""]",None of the above,,Less than once a week,No,,Minimal involvement,pare River with beautiful sceneries
