id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,building_type,security,infrastructure,observation,staff,employability,water_for_operational_purposes,water,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,mobile,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,chemical_inputs,inputs,covering_material,water_source,type,irrigation,advertisement,marketing,operational_cost,operations,quantity,cost,products,customers,transport_of_goods,logistics,specific,overall score
2603,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,1.0,0.5,1.0,0.3333,0.5,0.0,0.3333,1.0,0.2222,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.0,0.25,0.25,0.125,0.3333,1.0,0.5,0.3333,0.2308,100.0,50.0,100.0,33.3333,71.6667,0.0,33.3333,0.0,60.6667,100.0,100.0,22.2222,22.2222,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,24.0694,16.6667,33.3333,25.0,0.0,25.0,33.3333,25.0,12.5,12.5,33.3333,33.3333,100.0,50.0,75.0,33.3333,23.0769,23.0769,30.8494,37.7606
2620,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.34955,92.26113000000001,1.0,1.0,0.625,0.8333,0.5,1.0,0.3333,0.0,0.3333,0.4,0.0,0.0,1.0,0.8,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.3333,0.0,0.125,0.125,0.25,0.0333,1.0,0.5,0.0,0.1538,100.0,100.0,62.5,83.3333,89.1667,100.0,33.3333,0.0,84.6667,0.0,0.0,33.3333,33.3333,40.0,0.0,40.0,90.0,90.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.2917,33.3333,33.3333,33.3333,0.0,12.5,0.0,12.5,25.0,25.0,3.3333,3.3333,100.0,50.0,75.0,0.0,15.3846,15.3846,24.3718,42.7362
2621,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.569290000000002,91.89756,1.0,0.25,0.5,0.3333,0.5,1.0,0.3333,0.2,0.3333,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.0,0.0,0.25,0.125,0.125,0.4,1.0,0.5,0.3333,0.0769,100.0,25.0,50.0,33.3333,54.1667,100.0,33.3333,0.0,56.6667,20.0,20.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,18.2917,33.3333,0.0,16.6667,0.0,25.0,33.3333,18.75,12.5,12.5,40.0,40.0,100.0,50.0,75.0,33.3333,7.6923,7.6923,27.4776,33.4785
2631,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.572159999999997,91.89704,1.0,0.25,0.25,0.1667,0.5,0.0,0.0,1.0,0.1111,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.0,0.0,0.25,0.125,0.125,0.08,0.7,0.5,0.3333,0.0769,100.0,25.0,25.0,16.6667,45.8333,0.0,0.0,0.0,36.6667,100.0,100.0,11.1111,11.1111,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,21.8472,33.3333,0.0,16.6667,0.0,25.0,33.3333,18.75,12.5,12.5,8.0,8.0,70.0,50.0,60.0,33.3333,7.6923,7.6923,22.0276,26.3652
2637,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57305,91.89851999999999,1.0,0.25,0.75,0.3333,0.5,0.0,0.3333,0.8,0.1111,0.4,0.0,0.0,0.0,0.0,0.0769,0.0,0.125,0.0,0.0,0.0,0.3333,0.0,0.0,0.25,0.125,0.125,0.4,0.6,0.5,0.3333,0.0769,100.0,25.0,75.0,33.3333,59.1667,0.0,33.3333,0.0,50.6667,80.0,80.0,11.1111,11.1111,40.0,0.0,40.0,0.0,0.0,3.8462,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,20.0395,33.3333,0.0,16.6667,0.0,25.0,33.3333,18.75,12.5,12.5,40.0,40.0,60.0,50.0,55.0,33.3333,7.6923,7.6923,24.4776,31.0029
2658,Agriculture,Farm land,Tawang,Lumla,Manpat,27.53484000000001,91.71727,1.0,0.5,0.9125,0.8333,0.5,1.0,0.0,0.0,0.3333,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1667,0.0,0.0,0.0,0.3333,0.25,0.25,0.125,0.125,0.4667,0.1,0.5,0.1111,0.0769,100.0,50.0,91.25,83.3333,79.9167,100.0,0.0,25.0,73.9333,0.0,0.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,16.6667,0.0,0.0,0.0,17.9583,0.0,33.3333,16.6667,25.0,25.0,11.1111,18.75,12.5,12.5,46.6667,46.6667,10.0,50.0,30.0,11.1111,7.6923,7.6923,20.422,35.7363
2659,Agriculture,Farm land,Tawang,Lumla,Manpat,27.53476,91.71709,1.0,0.5,0.9125,0.8333,0.5,1.0,0.3333,0.0,0.3333,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1667,0.0,0.0,0.0,0.3333,0.25,0.25,0.125,0.125,0.6667,0.06,0.5,0.1111,0.0769,100.0,50.0,91.25,83.3333,79.9167,100.0,33.3333,25.0,77.2667,0.0,0.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,16.6667,0.0,0.0,0.0,17.9583,0.0,33.3333,16.6667,25.0,25.0,11.1111,18.75,12.5,12.5,66.6667,66.6667,6.0,50.0,28.0,11.1111,7.6923,7.6923,22.122,37.4163
2728,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14152,95.74235999999999,1.0,0.25,0.5,1.0,0.6667,0.0,0.0,0.0667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.0,0.0,0.25,0.125,0.125,0.1667,1.0,0.5,0.1111,0.0769,100.0,25.0,50.0,100.0,67.5,0.0,0.0,0.0,54.0,6.6667,6.6667,33.3333,33.3333,0.0,0.0,0.0,0.0,0.0,0.0,66.6667,66.6667,12.5,12.5,0.0,0.0,0.0,0.0,0.0,14.625,16.6667,0.0,8.3333,0.0,25.0,11.1111,18.75,12.5,12.5,16.6667,16.6667,100.0,50.0,75.0,11.1111,7.6923,7.6923,21.672,29.2563
2730,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14269,95.74121,1.0,0.25,0.5,1.0,0.6667,0.0,0.3333,0.0667,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.0,0.0,0.25,0.125,0.125,0.2,1.0,0.5,0.1111,0.1538,100.0,25.0,50.0,100.0,67.5,0.0,33.3333,0.0,57.3333,6.6667,6.6667,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,66.6667,66.6667,12.5,12.5,0.0,0.0,0.0,0.0,0.0,18.625,16.6667,0.0,8.3333,0.0,25.0,11.1111,18.75,12.5,12.5,20.0,20.0,100.0,50.0,75.0,11.1111,15.3846,15.3846,22.7746,31.8973
2731,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14257000000001,95.74078,1.0,0.25,0.5,1.0,0.6667,0.0,0.3333,0.0667,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.0,0.0,0.25,0.125,0.125,0.2,1.0,0.5,0.1111,0.1538,100.0,25.0,50.0,100.0,67.5,0.0,33.3333,0.0,57.3333,6.6667,6.6667,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,66.6667,66.6667,12.5,12.5,0.0,0.0,0.0,0.0,0.0,18.625,16.6667,0.0,8.3333,0.0,25.0,11.1111,18.75,12.5,12.5,20.0,20.0,100.0,50.0,75.0,11.1111,15.3846,15.3846,22.7746,31.8973
2749,Agriculture,Farm land,Tawang,Mukto,Gomkelling,27.55154000000001,91.92865,1.0,0.25,0.9,0.8333,0.5,0.0,0.0,1.0,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.3333,0.25,0.25,0.375,0.25,1.0,1.0,0.5,0.2222,0.0769,100.0,25.0,90.0,83.3333,72.1667,0.0,0.0,25.0,57.7333,100.0,100.0,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,26.2917,0.0,33.3333,16.6667,25.0,25.0,22.2222,31.25,25.0,25.0,100.0,100.0,100.0,50.0,75.0,22.2222,7.6923,7.6923,37.9915,40.4041
2842,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.340840000000004,92.27933,1.0,0.25,0.875,0.8333,0.5,0.0,0.3333,0.0667,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.3333,0.0,0.25,0.125,0.125,0.0333,0.06,0.5,0.1111,0.0769,100.0,25.0,87.5,83.3333,71.6667,0.0,33.3333,0.0,60.6667,6.6667,6.6667,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,16.9583,33.3333,33.3333,33.3333,0.0,25.0,11.1111,18.75,12.5,12.5,3.3333,3.3333,6.0,50.0,28.0,11.1111,7.6923,7.6923,17.0387,30.103
2843,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.338759999999997,92.27901999999999,1.0,0.25,0.875,0.8333,0.5,1.0,0.3333,0.0667,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.3333,0.0,0.25,0.125,0.125,0.0333,0.5,0.5,0.0,0.0769,100.0,25.0,87.5,83.3333,71.6667,100.0,33.3333,0.0,70.6667,6.6667,6.6667,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,16.9583,0.0,33.3333,16.6667,0.0,25.0,0.0,18.75,12.5,12.5,3.3333,3.3333,50.0,50.0,50.0,0.0,7.6923,7.6923,16.7276,32.9785
2844,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.31679,92.28921,1.0,0.25,0.875,0.8333,0.5,1.0,0.3333,0.0667,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.3333,0.3333,0.0,0.25,0.25,0.125,0.0133,0.05,0.5,0.1111,0.0769,100.0,25.0,87.5,83.3333,71.6667,100.0,33.3333,0.0,70.6667,6.6667,6.6667,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,16.9583,33.3333,33.3333,33.3333,0.0,25.0,11.1111,25.0,12.5,12.5,1.3333,1.3333,5.0,50.0,27.5,11.1111,7.6923,7.6923,18.0137,33.493
2851,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36856,92.53724,1.0,1.0,1.0,0.8333,0.5,0.0,0.3333,0.1333,0.3333,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.25,0.25,0.125,0.125,0.3333,0.8,0.5,0.1111,0.3846,100.0,100.0,100.0,83.3333,96.6667,0.0,33.3333,25.0,80.6667,13.3333,13.3333,33.3333,33.3333,40.0,0.0,40.0,0.0,0.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,17.625,16.6667,33.3333,25.0,25.0,25.0,11.1111,18.75,12.5,12.5,33.3333,33.3333,80.0,50.0,65.0,11.1111,38.4615,38.4615,28.6656,40.9537
2853,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36925,92.53723000000001,1.0,1.0,1.0,0.8333,0.5,0.0,0.3333,0.4,0.3333,0.4,0.0,0.0,1.0,0.6,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.25,0.25,0.125,0.125,0.8,1.0,0.5,0.1111,0.3846,100.0,100.0,100.0,83.3333,96.6667,0.0,33.3333,25.0,80.6667,40.0,40.0,33.3333,33.3333,40.0,0.0,40.0,80.0,80.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,28.2917,16.6667,33.3333,25.0,25.0,25.0,11.1111,18.75,12.5,12.5,80.0,80.0,100.0,50.0,75.0,11.1111,38.4615,38.4615,34.8323,46.6204
2854,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.37288,92.5347,1.0,0.25,0.975,0.8333,0.5,0.0,0.0,0.8,0.2222,0.4,1.0,0.0,1.0,0.6,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.25,0.25,0.25,0.125,1.0,1.0,0.5,0.1111,0.5385,100.0,25.0,97.5,83.3333,73.6667,0.0,0.0,25.0,58.9333,80.0,80.0,22.2222,22.2222,40.0,0.0,40.0,80.0,80.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,30.0694,16.6667,33.3333,25.0,25.0,25.0,11.1111,25.0,12.5,12.5,100.0,100.0,100.0,50.0,75.0,11.1111,53.8462,53.8462,39.6207,42.5491
2856,Agriculture,Farm land,West Kameng,Nafra,Nafra,27.370359999999998,92.53516,1.0,1.0,0.95,0.8333,0.5,0.0,0.3333,0.3333,0.3333,0.4,1.0,0.0,1.0,0.6,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.25,0.25,0.125,0.125,0.8,1.0,0.5,0.1111,0.3846,100.0,100.0,95.0,83.3333,95.6667,0.0,33.3333,25.0,79.8667,33.3333,33.3333,33.3333,33.3333,40.0,0.0,40.0,80.0,80.0,0.0,50.0,50.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,27.625,16.6667,33.3333,25.0,25.0,25.0,11.1111,18.75,12.5,12.5,80.0,80.0,100.0,50.0,75.0,11.1111,38.4615,38.4615,34.8323,46.1804
3132,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.13428,92.27441,1.0,0.5,0.0,0.8333,0.3333,1.0,0.3333,0.8667,0.3333,0.4,1.0,0.0,1.0,0.2,0.0769,0.8333,0.25,0.6111,0.0,0.0,0.3333,0.3333,0.25,0.25,0.375,0.5,1.0,1.0,0.5,0.5556,0.0769,100.0,50.0,0.0,83.3333,61.6667,100.0,33.3333,25.0,62.6667,86.6667,86.6667,33.3333,33.3333,40.0,0.0,40.0,60.0,60.0,45.5128,33.3333,33.3333,25.0,25.0,0.0,61.1111,0.0,0.0,0.0,38.3034,33.3333,33.3333,33.3333,25.0,25.0,55.5556,31.25,50.0,50.0,100.0,100.0,100.0,50.0,75.0,55.5556,7.6923,7.6923,47.5748,49.3209
3134,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.12763,92.23825,1.0,0.5,0.0,0.0,0.0,1.0,0.3333,0.2,0.3333,0.4,1.0,0.0,1.0,0.2,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.0,0.125,0.125,0.25,1.0,1.0,0.5,0.1111,0.0769,100.0,50.0,0.0,0.0,45.0,100.0,33.3333,0.0,49.3333,20.0,20.0,33.3333,33.3333,40.0,0.0,40.0,60.0,60.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,19.2917,16.6667,33.3333,25.0,0.0,12.5,11.1111,12.5,25.0,25.0,100.0,100.0,100.0,50.0,75.0,11.1111,7.6923,7.6923,33.1303,33.8396
3135,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.12702,92.23938000000001,1.0,0.5,0.0,0.0,0.0,1.0,0.3333,0.2,0.3333,0.4,1.0,0.0,1.0,0.2,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.3333,0.0,0.125,0.125,0.25,1.0,1.0,0.5,0.2222,0.3846,100.0,50.0,0.0,0.0,45.0,100.0,33.3333,0.0,49.3333,20.0,20.0,33.3333,33.3333,40.0,0.0,40.0,60.0,60.0,0.0,0.0,0.0,12.5,12.5,0.0,0.0,0.0,0.0,0.0,19.2917,16.6667,33.3333,25.0,0.0,12.5,22.2222,12.5,25.0,25.0,100.0,100.0,100.0,50.0,75.0,22.2222,38.4615,38.4615,37.3184,35.5149
3136,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.11415,92.25791,1.0,0.5,0.0,0.8333,0.3333,0.0,0.3333,0.5333,0.3333,0.4,1.0,0.0,1.0,0.2,0.0,0.0,0.125,0.0,0.0,0.0,0.1667,0.0,0.0,0.25,0.125,0.25,0.8667,1.0,0.5,0.3333,0.3077,100.0,50.0,0.0,83.3333,61.6667,0.0,33.3333,0.0,52.6667,53.3333,53.3333,33.3333,33.3333,40.0,0.0,40.0,60.0,60.0,0.0,33.3333,33.3333,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.9583,16.6667,0.0,8.3333,0.0,25.0,33.3333,18.75,25.0,25.0,86.6667,86.6667,100.0,50.0,75.0,33.3333,30.7692,30.7692,35.0769,37.6183
