id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,How do you deal with the waste generated from the fish pond?,Do you have grid connection for energy supply for the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,Are you using digital technologies that can be used in the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,security,infrastructure,observation,staff,employability,water_for_operational_purposes,water,waste_management,sanitation,electricity,energy,alternate_energy,mobile,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,chemical_inputs,organic_inputs,inputs,advertisement,marketing,quantity,cost,cost_policy,products,type,customers,transport_of_goods,logistics,specific,overall score
4974,Fisheries,Fish Pond,Lower Subansiri,Ziro,Molyang (Tajang),27.59651,93.86494,1.0,0.5,0.25,0.3333,0.6,0.25,0.8,0.2727,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2857,0.1667,0.1,1.0,0.972,0.2,0.1111,0.3333,100.0,50.0,25.0,33.3333,52.9167,25.0,25.0,41.75,80.0,80.0,27.2727,27.2727,25.0,25.0,100.0,100.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,33.0909,0.0,28.5714,16.6667,15.2381,10.0,10.0,100.0,97.2,33.3333,78.88,20.0,20.0,11.1111,11.1111,26.0458,32.8706
5148,Fisheries,Fish Pond,Lower Subansiri,Ziro,Keiliya,27.6118,93.86746,1.0,0.5,0.25,0.3333,0.6,0.0,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.99,0.2,0.1111,0.3333,100.0,50.0,25.0,33.3333,52.9167,0.0,0.0,31.75,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,0.0,0.0,0.0,0.0,30.0,30.0,100.0,99.0,33.3333,79.6,20.0,20.0,11.1111,11.1111,25.1422,24.9342
5449,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.587870000000002,93.84489,1.0,0.5,0.5,0.1667,0.6,0.0,0.0,0.2727,0.25,0.0,0.0,0.0,0.25,0.1667,0.0,0.0,0.4286,0.0,0.0,0.1,1.0,0.98,0.3,0.1111,0.3333,100.0,50.0,50.0,16.6667,55.8333,0.0,0.0,33.5,0.0,0.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,16.6667,0.0,0.0,0.0,16.7576,42.8571,0.0,0.0,12.8571,10.0,10.0,100.0,98.0,33.3333,79.2,30.0,30.0,11.1111,11.1111,27.6337,26.1307
5450,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.587870000000002,93.84504,1.0,0.5,0.5,0.1667,0.6,0.0,0.0,0.2727,0.25,0.0,0.0,0.0,0.25,0.1667,0.0,0.0,0.4286,0.0,0.0,0.1,1.0,0.998,0.3,0.1111,0.3333,100.0,50.0,50.0,16.6667,55.8333,0.0,0.0,33.5,0.0,0.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,16.6667,0.0,0.0,0.0,16.7576,42.8571,0.0,0.0,12.8571,10.0,10.0,100.0,99.8,33.3333,79.92,30.0,30.0,11.1111,11.1111,27.7777,26.1883
5467,Fisheries,Fish Pond,Papumpare,Banderdewa,Kharsingsa,27.11395,93.7772,1.0,0.5,0.75,0.0,0.0,0.25,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.0,0.0,0.2,1.0,0.98,0.2,0.2222,0.3333,100.0,50.0,75.0,0.0,58.75,25.0,25.0,45.25,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,9.8409,28.5714,0.0,0.0,8.5714,20.0,20.0,100.0,98.0,33.3333,79.2,20.0,20.0,22.2222,22.2222,27.9987,27.7268
5582,Fisheries,Fish Pond,Papumpare,Toru,Dokte Hoj,27.25422,93.80913000000001,1.0,0.25,0.25,1.0,0.6,0.0,0.2,0.2727,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.1429,0.1429,0.1667,0.1,0.1,0.988,0.1,0.1111,0.1111,100.0,25.0,25.0,100.0,58.75,0.0,0.0,35.25,20.0,20.0,27.2727,27.2727,0.0,0.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,100.0,0.0,100.0,0.0,0.0,114.5909,14.2857,14.2857,16.6667,15.2381,10.0,10.0,10.0,98.8,11.1111,45.8533,10.0,10.0,11.1111,11.1111,17.4405,51.9285
5633,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.5722,93.84557,1.0,0.5,0.0,0.5,0.6,0.25,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.97,0.2,0.6667,0.3333,100.0,50.0,0.0,50.0,50.0,25.0,25.0,40.0,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.0,33.3333,78.8,20.0,20.0,66.6667,66.6667,39.8552,33.2944
5731,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57165,93.84548000000001,1.0,0.5,0.0,0.5,0.6,0.0,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.975,0.2,0.5556,0.3333,100.0,50.0,0.0,50.0,50.0,0.0,0.0,30.0,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.5,33.3333,79.0,20.0,20.0,55.5556,55.5556,37.673,29.4215
5732,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.571790000000004,93.84572,1.0,0.5,0.0,0.5,0.6,0.0,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.975,0.2,0.6667,0.3333,100.0,50.0,0.0,50.0,50.0,0.0,0.0,30.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.5,33.3333,79.0,20.0,20.0,66.6667,66.6667,39.8952,29.7104
5733,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.571579999999997,93.8458,1.0,0.5,0.0,0.5,0.6,0.25,0.6,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.97,0.2,0.6667,0.3333,100.0,50.0,0.0,50.0,50.0,25.0,25.0,40.0,60.0,60.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,19.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.0,33.3333,78.8,20.0,20.0,66.6667,66.6667,39.8552,33.8944
5734,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57195,93.84572,1.0,0.5,0.0,0.5,0.6,0.25,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.97,0.2,0.6667,0.3333,100.0,50.0,0.0,50.0,50.0,25.0,25.0,40.0,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.0,33.3333,78.8,20.0,20.0,66.6667,66.6667,39.8552,33.2944
5737,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57214,93.8459,1.0,0.5,0.0,0.5,0.6,0.25,0.6,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.97,0.2,0.6667,0.3333,100.0,50.0,0.0,50.0,50.0,25.0,25.0,40.0,60.0,60.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,19.8409,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,97.0,33.3333,78.8,20.0,20.0,66.6667,66.6667,39.8552,33.8944
5767,Fisheries,Fish Pond,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56005,93.8483,1.0,0.5,0.0,0.6667,0.6,0.25,0.2,0.2727,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,1.0,0.98,0.2,0.1111,0.1111,100.0,50.0,0.0,66.6667,53.3333,25.0,25.0,42.0,20.0,20.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0909,0.0,0.0,33.3333,13.3333,20.0,20.0,100.0,98.0,11.1111,72.5333,20.0,20.0,11.1111,11.1111,25.3956,27.8855
6767,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.58261,93.84174,1.0,1.0,0.5,0.1667,0.6,0.0,0.2,0.2727,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.1429,0.1667,0.1,1.0,0.0,0.3,0.1111,0.3333,100.0,100.0,50.0,16.6667,70.8333,0.0,0.0,42.5,20.0,20.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.0909,28.5714,14.2857,16.6667,19.5238,10.0,10.0,100.0,0.0,33.3333,40.0,30.0,30.0,11.1111,11.1111,21.127,26.3281
6861,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.57947,93.88691,1.0,0.5,0.25,0.3333,0.6,0.25,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2857,0.0,0.0,0.1,1.0,0.978,0.3,0.1111,0.3333,100.0,50.0,25.0,33.3333,52.9167,25.0,25.0,41.75,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,28.5714,0.0,0.0,8.5714,10.0,10.0,100.0,97.8,33.3333,79.12,30.0,30.0,11.1111,11.1111,26.7605,27.9815
6906,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.679240000000004,93.82648,1.0,1.0,0.75,0.3333,0.6,0.5,0.4,0.1818,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.98,0.6,0.2222,0.3333,100.0,100.0,75.0,33.3333,80.4167,50.0,50.0,68.25,40.0,40.0,18.1818,18.1818,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,16.4773,0.0,0.0,0.0,0.0,20.0,20.0,100.0,98.0,33.3333,79.2,60.0,60.0,22.2222,22.2222,34.2844,39.132
7049,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.642740000000003,93.86219,1.0,0.75,0.5,0.3333,0.6,0.25,0.4,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.98,0.8,0.2222,0.3333,100.0,75.0,50.0,33.3333,66.6667,25.0,25.0,50.0,40.0,40.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,17.8409,0.0,0.0,0.0,0.0,20.0,20.0,100.0,98.0,33.3333,79.2,80.0,80.0,22.2222,22.2222,38.2844,35.6661
7169,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.51775,93.8275,1.0,0.5,0.0,0.6667,0.6,0.0,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.98,0.1,0.4444,0.3333,100.0,50.0,0.0,66.6667,53.3333,0.0,0.0,32.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,0.0,0.0,0.0,0.0,10.0,10.0,100.0,98.0,33.3333,79.2,10.0,10.0,44.4444,44.4444,27.7289,25.4438
7170,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.518009999999997,93.82838000000001,1.0,0.5,0.0,0.6667,0.6,0.0,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.98,0.1,0.4444,0.3333,100.0,50.0,0.0,66.6667,53.3333,0.0,0.0,32.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,0.0,0.0,0.0,0.0,10.0,10.0,100.0,98.0,33.3333,79.2,10.0,10.0,44.4444,44.4444,27.7289,25.4438
7171,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.518109999999997,93.82772,1.0,0.5,0.0,0.6667,0.6,0.0,0.2,0.2727,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1429,0.1667,0.1,1.0,0.98,0.3,0.6667,0.3333,100.0,50.0,0.0,66.6667,53.3333,0.0,0.0,32.0,20.0,20.0,27.2727,27.2727,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.8409,0.0,14.2857,16.6667,10.9524,10.0,10.0,100.0,98.0,33.3333,79.2,30.0,30.0,66.6667,66.6667,38.3638,29.6978
7188,Fisheries,Fish Pond,Lower Subansiri,Ziro,Bamin,27.56969,93.82853,1.0,1.0,0.875,0.6667,0.6,0.0,0.2,0.1818,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1429,0.1667,0.1,1.0,0.988,0.3,0.1111,0.3333,100.0,100.0,87.5,66.6667,90.2083,0.0,0.0,54.125,20.0,20.0,18.1818,18.1818,12.5,12.5,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,14.4773,0.0,14.2857,16.6667,10.9524,10.0,10.0,100.0,98.8,33.3333,79.52,30.0,30.0,11.1111,11.1111,27.3167,31.5074
764,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Jara,27.52657,93.77058000000001,1.0,1.0,0.975,0.6667,0.6,0.0,0.0,0.2727,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.98,0.3,0.1111,0.3333,100.0,100.0,97.5,66.6667,92.7083,0.0,0.0,55.625,0.0,0.0,27.2727,27.2727,25.0,25.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,15.0909,0.0,0.0,0.0,0.0,30.0,30.0,100.0,98.0,33.3333,79.2,30.0,30.0,11.1111,11.1111,27.0622,32.0397
809,Fisheries,Fish Pond,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,1.0,0.5,0.75,0.3333,0.4,0.0,0.2,0.2727,0.0,0.0,0.0,0.0,0.25,0.1667,0.0,0.0,0.2857,0.2857,0.1667,0.2,1.0,0.0,0.5,0.2222,0.1111,100.0,50.0,75.0,33.3333,65.4167,0.0,0.0,39.25,20.0,20.0,27.2727,27.2727,0.0,0.0,0.0,0.0,0.0,40.0,40.0,25.0,25.0,0.0,16.6667,0.0,0.0,0.0,14.2576,28.5714,28.5714,16.6667,23.8095,20.0,20.0,100.0,0.0,11.1111,33.3333,50.0,50.0,22.2222,22.2222,27.873,27.2015
