id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,Does this electricity pole also have telephone lines ?,What is the electricity pole made of ?,What is the frequency of maintenance or safety audit ?,Are the wires insulated ?
2542,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52841,93.77666,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2543,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.526940000000003,93.7722,kacha road,2g reliable,vodafone#idea#airtel,no,steel,others,no
2544,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52665,93.772,kacha road,3g unreliable,vodafone#idea#bsnl#airtel,no,steel,others,no
2545,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52883,93.77177,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2546,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52658,93.77144,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2547,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.526390000000006,93.77164,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2548,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52615,93.77161,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2549,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52587,93.7717,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2550,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52556,93.77163,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2552,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52818,93.77205,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2553,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52861,93.77698,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2554,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52873,93.77714,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2555,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.529,93.77728,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2556,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52915,93.77773,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2557,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52886,93.77786,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2558,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52785,93.77364,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2559,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52791,93.77365,pakka road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2560,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52841,93.77391,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2561,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52804,93.7736,kacha road,4g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2562,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52852,93.77216,kacha road,4g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2563,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52851,93.7721,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2564,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52773,93.77172,kacha road,3g reliable,vodafone#bsnl#airtel,no,steel,others,no
2568,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.5257,93.76726,kacha road,4g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2569,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.5256,93.76834,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2571,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52529,93.76873,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2572,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52605,93.76661,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2573,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52634,93.76472,kacha road with block point,2g reliable,vodafone#airtel,no,steel,others,no
2574,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52655,93.76492,pakka road,2g reliable,vodafone#airtel,no,concrete,others,no
2575,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52655,93.76527,pakka road,2g unreliable,vodafone#airtel,no,concrete,others,no
2576,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52661,93.7656,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2577,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.524990000000006,93.76698,footway,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2579,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52594,93.76945,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2580,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52622,93.76966,pakka road,4g reliable,vodafone#airtel#bsnl,no,steel,others,no
2581,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52668,93.77037,kacha road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2582,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52633,93.7703,pakka road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2583,Energy & ICT,Electricity Pole,Lower Subansiri,Yachuli,Jara,27.52632,93.7699,pakka road,4g reliable,vodafone#bsnl#airtel,no,steel,others,no
2592,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.56995,91.89817,kacha road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2622,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.5712,91.8999,pakka road,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2623,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57228,91.90111,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2624,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57121,91.89964,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2633,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57263,91.89723,footway,2g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2635,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57266,91.89743,footway,2g reliable,vodafone#bsnl#airtel,no,steel,monthly,no
2636,Energy & ICT,Electricity Pole,Tawang,Kitpi,Kitpi,27.57269,91.89746,footway,2g reliable,vodafone#bsnl#airtel,no,steel,others,no
2642,Energy & ICT,Electricity Pole,Changlang,Changlang,Old Changlang,27.1432,95.73683,footway,4g reliable,vodafone#bsnl#jio#airtel,no,rail,irregular,no
2643,Energy & ICT,Electricity Pole,Changlang,Changlang,Old Changlang,27.1432,95.73694,footway,4g reliable,vodafone#bsnl#jio#airtel,no,steel,irregular,no
2645,Energy & ICT,Electricity Pole,Changlang,Changlang,Old Changlang,27.14298,95.73669,footway,4g reliable,vodafone#bsnl#jio#airtel,no,steel,irregular,no
2646,Energy & ICT,Electricity Pole,Changlang,Changlang,Old Changlang,27.14261,95.7366,footway,4g reliable,vodafone#bsnl#jio#airtel,no,steel,irregular,no
2654,Energy & ICT,Electricity Pole,Tawang,Lumla,Manpat,27.53043,91.71308,pakka road,4g reliable,vodafone#bsnl#airtel,no,steel,irregular,yes
2655,Energy & ICT,Electricity Pole,Tawang,Lumla,Manpat,27.52938,91.71176,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,yes
2656,Energy & ICT,Electricity Pole,Tawang,Lumla,Manpat,27.5291,91.71114,pakka road,3g reliable,vodafone#bsnl#airtel,no,steel,irregular,yes
2657,Energy & ICT,Electricity Pole,Tawang,Lumla,Manpat,27.52876,91.71079,pakka road,3g reliable,vodafone#bsnl#airtel,no,steel,irregular,yes
2668,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.546190000000006,91.92618,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2669,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54634,91.92643,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2670,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54595,91.92579,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2671,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54587,91.92562,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2672,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54562,91.9252,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2673,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54561,91.9248,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2674,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.545440000000006,91.92487,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2675,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54542,91.92455,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2676,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.5456,91.92425,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2677,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54536,91.92482,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2678,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54576,91.92506,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2682,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54634,91.92615,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2685,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54536,91.92482,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,others,no
2689,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54705,91.92972,footway,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2690,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54683,91.92922,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2691,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54677,91.92854,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2692,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54697,91.92749,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2693,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54695,91.92791,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,yearly,no
2694,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54662,91.92613,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2695,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54593,91.92446,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2696,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54601,91.92484,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2697,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54568,91.92362,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2699,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54512,91.92302,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2700,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.544590000000003,91.92208,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2701,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.544040000000006,91.92159,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2702,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.543940000000006,91.92086,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2703,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.5438,91.91988,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2704,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.5444,91.91903,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2707,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.544790000000006,91.91784,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2708,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.5441,91.91762,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2709,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.543940000000006,91.92086,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
2710,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54385,91.91956,pakka road,4g unreliable,idea#bsnl#airtel,no,steel,irregular,no
2711,Energy & ICT,Electricity Pole,Tawang,Mukto,Mukto,27.54414,91.91796,pakka road,4g unreliable,vodafone#bsnl#airtel,no,steel,irregular,no
