id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the fish pond until it was open?,What is the type of the road available to the fish pond?,How much distance should one travel from the fish pond to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the fish pond?,What are different Mobile network service providers available at the location of the fish pond?,What is the type of security available for the fish pond?,How many are employed in the fish pond?,Where do you get water for operational purposes for the fish pond?,How do you deal with the waste generated from the fish pond?,Do you have grid connection for energy supply for the fish pond?,What is the alternative energy source available for the fish pond?,How many hours do you rely on the alternative energy source in a day for the fish pond?,How do you maintain records for operations of the fish pond?,What are the areas the fish pond gets support from government agencies?,Do you get any support from NGO(s) for the fish pond?,Are you using digital technologies that can be used in the fish pond?,Where do you primarily procure inputs required for the Fish Pond?,What are different chemical inputs used in the fish pond?,What are different organic inputs used in the fish pond?,How does this Asset advertise about the products produced in the fish pond?,How many KGs of fish are procured from fish pond per year?,What is the average cost per unit of the products produced from the fish pond?,Which type of customers purchase the products produced in the fish pond?,How does the customers transport the goods produced from the fish pond?,How do you determine the selling price of the products?
5733,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57158,93.8458,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,3,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,120,300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others,based on market price
5734,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57195,93.84572,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,2,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,100,300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others,based on market price
5737,Fisheries,Fish Pond,Lower Subansiri,Ziro,Modang Tage,27.57214,93.8459,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,3,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,fertilizer,village meeting,200,300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others,based on market price
5767,Fisheries,Fish Pond,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56005,93.8483,1,kacha road,4.0,3g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,river or canal,discarded in open field,no,none,N/A,traditional book keeping,none,no,no,none,none,weedicides,village meeting,100,200,farmers,others,other
6767,Fisheries,Fish Pond,Lower Subansiri,Ziro,Hari,27.58261,93.84174,1,pakka road,2.0,2g unreliable,vodafone#bsnl#airtel,none,1,river or canal,discarded in open field,no,none,N/A,traditional book keeping,none,no,no,local supplier,others,others,others,2500,10000,farmers#others,head load,based on market price
6861,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.57947,93.88691,1,kacha road,3.0,2g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,others,2500,220,farmers#others,2 wheeler,based on market price
6906,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.679240000000004,93.82648,3,pakka road,1.0,2g reliable,vodafone#bsnl#airtel,compound wall\/ fencing#watchman,2,water from government,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,none,none,village meeting,20000,200,farmers#research agencies#ngo,tempo\/auto,based on market price
7049,Fisheries,Fish Pond,Lower Subansiri,Ziro,Lempiya,27.642740000000003,93.86219,2,pakka road with block point,2.0,2g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,2,ground water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,none,none,village meeting,15000,200,farmers#govt. agencies#ngo#others,tempo\/auto,based on market price
7169,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.51775,93.8275,1,kacha road,4.0,3g reliable,vodafone#bsnl#airtel,none,1,river or canal,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,none,none,others,3000,200,others,head load#2 wheeler#tempo\/auto,based on market price
7170,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.51801,93.82838,1,kacha road,4.0,3g reliable,vodafone#bsnl#airtel,none,1,river or canal,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,none,none,others,1500,200,others,head load#2 wheeler#tempo\/auto,based on market price
7171,Fisheries,Fish Pond,Lower Subansiri,Ziro,Taring,27.51811,93.82772,1,kacha road,4.0,3g reliable,vodafone#bsnl#airtel,none,1,river or canal,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,others,others,others,1000,200,farmers#others,head load#2 wheeler#tempo\/auto#sumo\/tracker,based on market price
7188,Fisheries,Fish Pond,Lower Subansiri,Ziro,Bamin,27.56969,93.82853,1,pakka road,0.5,3g reliable,vodafone#bsnl#airtel,none,1,water from government,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,none,others,others,others,20,120,farmers#others,head load,based on market price
764,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Jara,27.52657,93.77058,2,pakka road,0.1,3g reliable,vodafone#bsnl#airtel,none,0,ground water,discarded in open field,no,none,N/A,traditional book keeping,none,no,no,none,none,none,others#village meeting,40,200,farmers#others,others,based on market price
809,Fisheries,Fish Pond,Papumpare,Banderdewa,Kharsingsa Village,27.12242,93.79607,1,kacha road,1.0,2g reliable,bsnl#airtel,none,1,ground water,none,no,none,N/A,traditional book keeping,none#support via subsidies,no,no,local supplier,fertilizer#none,none#fertilizer,posters\/ display boards,500,70000,farmers#research agencies#others,2 wheeler#head load,bargaining
1124,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.52173,93.70632,1,kacha road,0.1,2g reliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,announcements \/ broadcast,30,300,others,head load,based on market price
1151,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51895,93.70587,2,kacha road,0.0,2g unreliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,announcements \/ broadcast,20,300,others,head load,based on market price
1153,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.5191,93.70519,2,kacha road,0.1,2g unreliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,announcements \/ broadcast,20,300,others,head load,based on market price
1161,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.5151,93.70096,2,kacha road,0.2,2g unreliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,announcements \/ broadcast,50,300,others,head load,based on market price
1162,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51452,93.70087,2,kacha road,0.2,2g unreliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,announcements \/ broadcast,50,300,others,head load,based on market price
1163,Fisheries,Fish Pond,Lower Subansiri,Yachuli,Yoglo,27.51357,93.70044,2,kacha road,0.5,2g unreliable,airtel,none,1,spring water,burnt within the premises,no,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,announcements \/ broadcast,30,300,others,head load,based on market price
1198,Fisheries,Fish Pond,Papumpare,Sangdupota,Poma,27.07267,93.52414,1,kacha road,1.5,3g reliable,bsnl#jio,none,1,ground water,none,no,none,N/A,traditional book keeping,technical support#support via subsidies,no,no,government agency,none,none,others,200,150,others,others,dependent on buyers price
1322,Fisheries,Fish Pond,Lower Subansiri,Ziro,Mani Polyang,27.5331,93.8497,10,pakka road,12.0,3g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,2,river or canal,burnt within the premises,yes,none,N/A,others,technical support#support via schemes#support via subsidies,no,no,government agency,none,none,others,100,200,farmers,2 wheeler#tempo\/auto#sumo\/tracker,based on market price
1671,Fisheries,Fish Pond,Changlang,Changlang,Changlang (CT),27.14363,95.73906,1,footway,2.0,4g+ reliable,bsnl#jio#airtel,compound wall\/ fencing,1,ground water,burnt within the premises,no,none,N/A,others,support via schemes,no,no,government agency,others,others,others,150,200,others,mini luggage transport vehicle,based on market price
