id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,How do you deal with the agricultural waste generated from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,Are you using digital technologies that can be used in the farm land?,Where do you procure inputs required for the farm land?,What are different chemical inputs used in the farm land?,What is the type of covering material used in the farm land?,What is the water source used for irrigation mechanism?,What is the type of irrigation mechanism used in the farm land?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
2603,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56772,91.8946,10,kacha road,0.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,30,river or canal,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,others,others,none,river/stream,canal irrigation,others,5000,3000,"white ,rice and millet",1-100,others#farmers,head load#sumo\/tracker
2620,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.34955,92.26113,1,pakka road,1.5,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,no,N/A,yes,1.0,none,N/A,others,none,no,no,local supplier,others,none,others,others,marketing team\/ sales agents,500,1500,kiwi,1-100,none,2 wheeler
2621,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.56929,91.89756,10,footway,2.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3,water from government,burnt within the premises,no,>7,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,6000,1000,kiwi,1-100,farmers#others,head load
2631,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57216,91.89704,10,footway,3.0,2g unreliable,vodafone#airtel#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,16,others,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,rainfed,others,others,1200,700,"millet potato, rice, wheat, maize",1-100,farmers#others,head load
2637,Agriculture,Farm land,Tawang,Kitpi,Kitpi,27.57305,91.89852,10,footway,1.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,12,others,burnt within the premises,no,1,no,N/A,others,0.0,others,none,no,no,local supplier,none,none,rainfed,others,others,6000,600,"millet, rice, maize, potatos, wheat",1-100,farmers#others,head load
2658,Agriculture,Farm land,Tawang,Lumla,Manpat,27.534840000000006,91.71727,2,kacha road,0.35,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,water from government,burnt within the premises,yes,5,no,N/A,none,N/A,others,support via schemes,no,no,none,others,others,rainfed,others,others,7000,100,potatoes,1-100,others,others
2659,Agriculture,Farm land,Tawang,Lumla,Manpat,27.53476,91.71709,2,kacha road,0.35,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,0,water from government,burnt within the premises,yes,6,no,N/A,none,N/A,traditional book keeping,support via schemes,no,no,none,others,others,rainfed,others,others,10000,60,potatoes,1-100,others,others
2728,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14152,95.74236,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,water from government,none,no,N/A,no,N/A,none,N/A,others,none,no,no,others,none,none,rainfed,others,others,2500,8000,bamboo,1-100,others,mini luggage transport vehicle
2730,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.14269,95.74121,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,others,none,none,rainfed,others,others,3000,7000,"lichhi, pineapple, palm leave, etc",1-100,others,2 wheeler
2731,Agriculture,Farm land,Changlang,Changlang,Old Changlang,27.142570000000006,95.74078,1,footway,2.0,4g+ reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,others,none,none,rainfed,others,others,3000,12000,lichhi,1-100,others,2 wheeler
2749,Agriculture,Farm land,Tawang,Mukto,Gomkelling,27.551540000000006,91.92865,1,footway,0.4,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,20,water from government,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,none,others,lath/bamboo,rainfed,drip irrigation,village meeting,15000,1000,paddy,1-100,farmers,head load
2842,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.340840000000004,92.27933,1,footway,0.5,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,fertilizer,none,rainfed,others,others,500,60,"kiwi,orange,walnut",1-100,others,head load
2843,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.33876,92.27902,1,footway,0.5,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,others,none,no,no,none,fertilizer,none,rainfed,others,others,500,500,maize field,1-100,none,head load
2844,Agriculture,Farm land,West Kameng,Dirang,Dirang,27.31679,92.28921,1,footway,0.5,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,1,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,others,200,50,"maize,kiwi, orange",1-100,others,head load
2851,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36856,92.53724,2,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,2,water from government,burnt within the premises,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,lath/bamboo,rainfed,others,others,5000,800,tomato,1-100,others,2 wheeler#sumo\/tracker#mini luggage transport vehicle
2853,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.36925,92.53723,2,pakka road,0.0,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,6,water from government,burnt within the premises,no,N/A,yes,2.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,lath/bamboo,rainfed,others,others,12000,6000,tomato,1-100,others,2 wheeler#sumo\/tracker#mini luggage transport vehicle
2854,Agriculture,Farm land,West Kameng,Nafra,Lower Dzong,27.37288,92.5347,1,footway,0.1,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,12,river or canal,burnt within the premises,yes,3,yes,2.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,lath/bamboo,river/stream,canal irrigation,others,56000,12000,tomato,1-100,others,sumo\/tracker#mini luggage transport vehicle#huge luggage transport vehicle
2856,Agriculture,Farm land,West Kameng,Nafra,Nafra,27.37036,92.53516,2,pakka road,0.2,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,5,water from government,burnt within the premises,yes,1,yes,2.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,lath/bamboo,rainfed,others,others,12000,5000,tomato,1-100,others,2 wheeler#sumo\/tracker#mini luggage transport vehicle
3132,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.13428,92.27441,2,kacha road,24.0,4g unreliable,bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,13,water from government,burnt within the premises,yes,2,yes,4.0,kerosene generator,5.0,digital records- using computer/mobile,financial support#technical support#marketing support#insurance support#transport support,no,no,government agency,fertilizer,polysheet,rainfed,drip irrigation,village meeting#posters\/ display boards,60000,30000,apple pear plum,101-200,farmers#govt. agencies,mini luggage transport vehicle
3134,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.12763,92.23825,1,kacha road,30.0,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3,water from government,burnt within the premises,yes,3,yes,4.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,none,others,others,village meeting,25000,3000,apple and kiwi,1-100,others,mini luggage transport vehicle
3135,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.12702,92.23938,1,kacha road,30.0,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3,water from government,burnt within the premises,yes,3,yes,4.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,none,others,others,village meeting,25000,3000,apple and kiwi,1-100,farmers,huge luggage transport vehicle#mini luggage transport vehicle
3136,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.11415,92.25791,1,kacha road,30.0,4g unreliable,jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,8,water from government,burnt within the premises,yes,3,yes,4.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,river/stream,others,village meeting,13000,10000,"apple, potato",1-100,farmers#others,huge luggage transport vehicle
3138,Agriculture,Farm land,West Kameng,Shergaon,Shergaon,27.343000000000004,93.30031,1,kacha road,30.0,4g unreliable,airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3,water from government,burnt within the premises,yes,3,yes,4.0,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,river/stream,others,village meeting,15000,2500,apple,1-100,others,mini luggage transport vehicle
3140,Agriculture,Farm land,West Kameng,Shergaon,Rowta,27.16577,92.28758,2,pakka road,24.0,2g unreliable,bsnl,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,4,water from government,burnt within the premises,yes,1,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,none,none,river/stream,others,village meeting,10000,5000,kiwi,1-100,farmers#others,mini luggage transport vehicle
3266,Agriculture,Farm land,West Kameng,Nafra,Lower Dzang,27.37242,92.53643,2,footway,0.1,4g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",watchman,4,river or canal,burnt within the premises,yes,2,no,N/A,none,N/A,traditional book keeping,none,no,no,supplier in other states,fertilizer,green mesh,river/stream,sprinklers,others,2000,200,orange,1-100,others,2 wheeler#sumo\/tracker#mini luggage transport vehicle
4459,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58918,93.85315,1,kacha road,3.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,river or canal,discarded in open field,no,N/A,no,N/A,invertor,8.0,others,none,no,no,others,none,none,river/stream,canal irrigation,others,5000,10000,rice,>300,others#farmers,head load
4460,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58938,93.85267,1,kacha road,3.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,river or canal,discarded in open field,yes,3,no,N/A,none,N/A,others,none,no,no,others,none,none,river/stream,canal irrigation,others,5000,10000,rice,>300,research organizations#others,head load
4895,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.61887,93.84551,7,kacha road,1.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
4900,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.63302,93.88742,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,apple,101-200,farmers,head load
4901,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.65779,93.84152,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
4902,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.59233,93.81757,1,kacha road,3.0,2g reliable,vodafone#idea#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,apple,101-200,farmers,head load
4907,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.59233,93.86347,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,river or canal,discarded in water bodies,yes,6,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,river/stream,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
4909,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.63125,93.89141,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,river/stream,canal irrigation,others#marketing team\/ sales agents,1000,1000,kiwi,101-200,farmers,head load
4910,Agriculture,Farm land,Lower Subansiri,Ziro,Hija,27.60826,93.84551,1,kacha road,3.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,burnt within the premises,yes,>7,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,canal irrigation,marketing team\/ sales agents#others,1000,100,kiwi,101-200,farmers,head load
5015,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.56878,93.84671,3,pakka road,5.0,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,3,water from government,burnt within the premises,no,N/A,no,N/A,solar unit,5.0,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,sprinklers,village meeting,10000,50,kiwi fruits,201-300,farmers,2 wheeler#head load#tempo\/auto#sumo\/tracker#others
5020,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.5671,93.84563,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,water from government,burnt within the premises,no,N/A,yes,2.0,solar unit,5.0,traditional book keeping,none,no,no,local supplier,pesticide,none,rainfed,canal irrigation,village meeting,10000,100,rice,1-100,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others
5091,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.59056,93.77566,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,2,ground water,discarded in water bodies,yes,4,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,500,500,potato beens,1-100,farmers,head load
5093,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.60472,93.86547,1,footway,3.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,2,ground water,discarded in water bodies,yes,4,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,marketing team\/ sales agents#others,1000,500,palm,101-200,farmers,head load
5110,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.57275,93.82936,3,pakka road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,spring water,burnt within the premises,yes,5,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,village meeting,10000,100,rice and maize,201-300,farmers,2 wheeler#tempo\/auto#sumo\/tracker#others
5149,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.60472,93.82156,1,kacha road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,2,ground water,burnt within the premises,yes,6,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,100,500,vegetables,1-100,farmers,head load
5150,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.60826,93.86547,1,kacha road,3.0,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
5157,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.62418,93.79562,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,2,ground water,burnt within the premises,yes,5,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,500,500,vegetables,1-100,farmers,head load
5158,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.63833,93.8954,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,5,ground water,discarded in water bodies,yes,4,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,500,500,"potato ,beens",1-100,farmers,head load
5159,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.62418,93.79562,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,2,ground water,burnt within the premises,yes,5,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,500,500,vegetables,1-100,farmers,head load
5163,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.65071,93.87145,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,5,water from government,discarded in water bodies,yes,4,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,rainfed,canal irrigation,others#marketing team\/ sales agents,500,500,"potato , beans",1-100,farmers,head load
5164,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.60295,93.82156,1,footway,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
5185,Agriculture,Farm land,Lower Subansiri,Ziro,Keiliya,27.59764,93.89341,1,pakka road,3.0,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,10,ground water,discarded in water bodies,yes,5,no,N/A,none,N/A,traditional book keeping,none,no,no,none,none,none,ground water,canal irrigation,others#marketing team\/ sales agents,1000,500,kiwi,101-200,farmers,head load
5299,Agriculture,Farm land,West Siang,Kamba,Kambu,27.88821,93.47143,2,kacha road,2.0,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",compound wall\/ fencing,3,spring water,discarded in open field,no,N/A,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,pesticide,lath/bamboo,river/stream,canal irrigation,village meeting#marketing team\/ sales agents,1500,15000,"maize, etc",1-100,farmers#govt. agencies,2 wheeler
5321,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.579690000000006,93.85725,1,kacha road,5.0,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,2,water from government,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,none,ground water,others,others,30000,2000,kiwi,1-100,others,head load
5323,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.58074,93.85611,1,kacha road,5.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,ground water,discarded in open field,no,N/A,no,N/A,none,N/A,others,none,no,no,local supplier,none,lath/bamboo,rainfed,others,others,10000,1000,kiwi,1-100,others,head load
5448,Agriculture,Farm land,Lower Subansiri,Ziro,Hari,27.5887,93.84541,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,30,river or canal,discarded in open field,yes,3,no,N/A,none,N/A,others,none,no,no,others,none,none,rainfed,canal irrigation,others,1500,500,rice,1-100,farmers#others,head load
5518,Agriculture,Farm land,Lower Subansiri,Ziro,Modang Tage,27.53114,93.8416,3,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1,spring water,burnt within the premises,yes,7,no,N/A,none,N/A,traditional book keeping,none,no,no,local supplier,fertilizer,none,rainfed,canal irrigation,village meeting,10000,63,rice and millet,201-300,farmers,2 wheeler#tempo\/auto#sumo\/tracker
